;UserID;JobTitle;DetailedOccupation;MinorGroup;MajorGroup;Combined_EmploymentItems;Num_EmploymentItems
67;2272;['activity aide receptionist', 'personal secretary'];['43-4171', '43-6014'];['43-40', '43-60'];['43', '43'];[('43-4171', '43-40', '43', 'activity aide receptionist'), ('43-6014', '43-60', '43', 'personal secretary')];2
68;2327;['cashier', 'teller', 'cashier', 'contract clerical data entry desk', 'delivery clerk'];['41-2011', '43-3071', '41-2011', '43-9061', '53-7065'];['41-20', '43-30', '41-20', '43-90', '53-70'];['41', '43', '41', '43', '53'];[('41-2011', '41-20', '41', 'cashier'), ('43-3071', '43-30', '43', 'teller'), ('41-2011', '41-20', '41', 'cashier'), ('43-9061', '43-90', '43', 'contract clerical data entry desk'), ('53-7065', '53-70', '53', 'delivery clerk')];5
69;2337;['file clerk', 'accountant clerk', 'sales associate cashier', 'file clerk', 'driver helper', 'sales associate', 'order processor'];['43-4071', '43-3031', '41-2011', '43-4071', '53-7199', '41-2031', '43-4151'];['43-40', '43-30', '41-20', '43-40', '53-70', '41-20', '43-40'];['43', '43', '41', '43', '53', '41', '43'];[('43-4071', '43-40', '43', 'file clerk'), ('43-3031', '43-30', '43', 'accountant clerk'), ('41-2011', '41-20', '41', 'sales associate cashier'), ('43-4071', '43-40', '43', 'file clerk'), ('53-7199', '53-70', '53', 'driver helper'), ('41-2031', '41-20', '41', 'sales associate'), ('43-4151', '43-40', '43', 'order processor')];7
70;2385;['charge', 'overnight grocery stock clerk'];['29-1141', '53-7065'];['29-10', '53-70'];['29', '53'];[('29-1141', '29-10', '29', 'charge'), ('53-7065', '53-70', '53', 'overnight grocery stock clerk')];2
71;2386;['waitress', 'waitress', 'waitress', 'buser waitress'];['35-3031', '35-3031', '35-3031', '35-3031'];['35-30', '35-30', '35-30', '35-30'];['35', '35', '35', '35'];[('35-3031', '35-30', '35', 'waitress'), ('35-3031', '35-30', '35', 'waitress'), ('35-3031', '35-30', '35', 'waitress'), ('35-3031', '35-30', '35', 'buser waitress')];4
72;2393;['instructor community health ed center', 'logistics lead'];['21-1091', '13-1081'];['21-10', '13-10'];['21', '13'];[('21-1091', '21-10', '21', 'instructor community health ed center'), ('13-1081', '13-10', '13', 'logistics lead')];2
73;2432;['maintenance administrator', 'residential aide independent living assistant geriatrics', 'office automation clerk'];['15-1244', '31-1122', '43-9061'];['15-12', '31-10', '43-90'];['15', '31', '43'];[('15-1244', '15-12', '15', 'maintenance administrator'), ('31-1122', '31-10', '31', 'residential aide independent living assistant geriatrics'), ('43-9061', '43-90', '43', 'office automation clerk')];3
75;2481;['general manager', 'general manager'];['11-1021', '11-1021'];['11-10', '11-10'];['11', '11'];[('11-1021', '11-10', '11', 'general manager'), ('11-1021', '11-10', '11', 'general manager')];2
76;2528;['child care teacher', 'child care teacher', 'child care teacher'];['25-2011', '25-2011', '25-2011'];['25-20', '25-20', '25-20'];['25', '25', '25'];[('25-2011', '25-20', '25', 'child care teacher'), ('25-2011', '25-20', '25', 'child care teacher'), ('25-2011', '25-20', '25', 'child care teacher')];3
77;2549;['extended day teacher', 'truck driver', 'warehouse assistant'];['25-2011', '53-3032', '53-7065'];['25-20', '53-30', '53-70'];['25', '53', '53'];[('25-2011', '25-20', '25', 'extended day teacher'), ('53-3032', '53-30', '53', 'truck driver'), ('53-7065', '53-70', '53', 'warehouse assistant')];3
79;2604;['service advisor', 'auto sales manager'];['43-4051', '11-2022'];['43-40', '11-20'];['43', '11'];[('43-4051', '43-40', '43', 'service advisor'), ('11-2022', '11-20', '11', 'auto sales manager')];2
80;2638;['toll collector', 'cashier', 'cashier'];['41-2011', '41-2011', '41-2011'];['41-20', '41-20', '41-20'];['41', '41', '41'];[('41-2011', '41-20', '41', 'toll collector'), ('41-2011', '41-20', '41', 'cashier'), ('41-2011', '41-20', '41', 'cashier')];3
81;2652;['collection coordinator customer service specialist', 'secretary ii receptionist', 'clerical assistant receptionist'];['43-4051', '43-4171', '43-9061'];['43-40', '43-40', '43-90'];['43', '43', '43'];[('43-4051', '43-40', '43', 'collection coordinator customer service specialist'), ('43-4171', '43-40', '43', 'secretary ii receptionist'), ('43-9061', '43-90', '43', 'clerical assistant receptionist')];3
82;2658;['mail room clerk', 'office clerk receptionist', 'teller loan interviewer', 'teller loan interviewer'];['43-9051', '43-9061', '43-3071', '43-3071'];['43-90', '43-90', '43-30', '43-30'];['43', '43', '43', '43'];[('43-9051', '43-90', '43', 'mail room clerk'), ('43-9061', '43-90', '43', 'office clerk receptionist'), ('43-3071', '43-30', '43', 'teller loan interviewer'), ('43-3071', '43-30', '43', 'teller loan interviewer')];4
83;2731;['clinical manager dmeplus', 'supervisor bill review services', 'senior nurse manager', 'clinical nurse specialist', 'registered nurse', 'clinical nurse specialist'];['29-1141', '43-1011', '29-1141', '29-1141', '29-1141', '29-1141'];['29-10', '43-10', '29-10', '29-10', '29-10', '29-10'];['29', '43', '29', '29', '29', '29'];[('29-1141', '29-10', '29', 'clinical manager dmeplus'), ('43-1011', '43-10', '43', 'supervisor bill review services'), ('29-1141', '29-10', '29', 'senior nurse manager'), ('29-1141', '29-10', '29', 'clinical nurse specialist'), ('29-1141', '29-10', '29', 'registered nurse'), ('29-1141', '29-10', '29', 'clinical nurse specialist')];6
84;2739;['customer service advocate lumenos', 'account representative', 'customer service specialist'];['43-4051', '41-4012', '43-4051'];['43-40', '41-40', '43-40'];['43', '41', '43'];[('43-4051', '43-40', '43', 'customer service advocate lumenos'), ('41-4012', '41-40', '41', 'account representative'), ('43-4051', '43-40', '43', 'customer service specialist')];3
86;2754;['safety training specialist', 'human resources recruiter'];['13-1151', '13-1071'];['13-10', '13-10'];['13', '13'];[('13-1151', '13-10', '13', 'safety training specialist'), ('13-1071', '13-10', '13', 'human resources recruiter')];2
87;2848;['human resources generalist', 'marketing coordinator'];['13-1071', '13-1161'];['13-10', '13-10'];['13', '13'];[('13-1071', '13-10', '13', 'human resources generalist'), ('13-1161', '13-10', '13', 'marketing coordinator')];2
88;2865;['plant supervisor', 'plant supervisor'];['51-1011', '51-1011'];['51-10', '51-10'];['51', '51'];[('51-1011', '51-10', '51', 'plant supervisor'), ('51-1011', '51-10', '51', 'plant supervisor')];2
89;2888;['loan specialist', 'executive accounts coordinator', 'corporate collection manager canada', 'collections representative'];['43-4131', '43-6011', '11-3031', '43-3011'];['43-40', '43-60', '11-30', '43-30'];['43', '43', '11', '43'];[('43-4131', '43-40', '43', 'loan specialist'), ('43-6011', '43-60', '43', 'executive accounts coordinator'), ('11-3031', '11-30', '11', 'corporate collection manager canada'), ('43-3011', '43-30', '43', 'collections representative')];4
90;2898;['computer manager microsoft office solution', 'computer manager'];['11-3021', '11-3021'];['11-30', '11-30'];['11', '11'];[('11-3021', '11-30', '11', 'computer manager microsoft office solution'), ('11-3021', '11-30', '11', 'computer manager')];2
91;2914;['data entry purchase orders', 'cashier bakery clerk'];['43-9021', '41-2011'];['43-90', '41-20'];['43', '41'];[('43-9021', '43-90', '43', 'data entry purchase orders'), ('41-2011', '41-20', '41', 'cashier bakery clerk')];2
93;2964;['collection agent', 'collection agent', 'customer service representative ii', 'customer service representative ii', 'customer service representative ii'];['43-3011', '43-3011', '43-4051', '43-4051', '43-4051'];['43-30', '43-30', '43-40', '43-40', '43-40'];['43', '43', '43', '43', '43'];[('43-3011', '43-30', '43', 'collection agent'), ('43-3011', '43-30', '43', 'collection agent'), ('43-4051', '43-40', '43', 'customer service representative ii'), ('43-4051', '43-40', '43', 'customer service representative ii'), ('43-4051', '43-40', '43', 'customer service representative ii')];5
95;3054;['lot attendant', 'directors assistant'];['43-6011', '41-2031'];['43-60', '41-20'];['43', '41'];[('43-6011', '43-60', '43', 'lot attendant'), ('41-2031', '41-20', '41', 'directors assistant')];2
96;3069;['receiving clerk', 'receiving clerk', 'receiving clerk'];['43-5071', '43-5071', '43-5071'];['43-50', '43-50', '43-50'];['43', '43', '43'];[('43-5071', '43-50', '43', 'receiving clerk'), ('43-5071', '43-50', '43', 'receiving clerk'), ('43-5071', '43-50', '43', 'receiving clerk')];3
98;3123;['microsoft certified specialist exam', 'aba special education supervisor outside contractor time', 'assistant credit manager administrator'];['15-1232', '25-2059', '11-3031'];['15-12', '25-20', '11-30'];['15', '25', '11'];[('15-1232', '15-12', '15', 'microsoft certified specialist exam'), ('25-2059', '25-20', '25', 'aba special education supervisor outside contractor time'), ('11-3031', '11-30', '11', 'assistant credit manager administrator')];3
99;3145;['grant accountant', 'site manager', 'hampton city treasurer'];['13-2011', '11-9021', '11-3031'];['13-20', '11-90', '11-30'];['13', '11', '11'];[('13-2011', '13-20', '13', 'grant accountant'), ('11-9021', '11-90', '11', 'site manager'), ('11-3031', '11-30', '11', 'hampton city treasurer')];3
100;3164;['credit account representative ii', 'customer service representative', 'customer service representative'];['43-3011', '43-4051', '43-4051'];['43-30', '43-40', '43-40'];['43', '43', '43'];[('43-3011', '43-30', '43', 'credit account representative ii'), ('43-4051', '43-40', '43', 'customer service representative'), ('43-4051', '43-40', '43', 'customer service representative')];3
101;3165;['credit analyst', 'financial assistant'];['13-2041', '43-3031'];['13-20', '43-30'];['13', '43'];[('13-2041', '13-20', '13', 'credit analyst'), ('43-3031', '43-30', '43', 'financial assistant')];2
102;3176;['supervisor', 'lifeguard', 'customer service representative'];['51-1011', '33-9092', '43-4051'];['51-10', '33-90', '43-40'];['51', '33', '43'];[('51-1011', '51-10', '51', 'supervisor'), ('33-9092', '33-90', '33', 'lifeguard'), ('43-4051', '43-40', '43', 'customer service representative')];3
106;3316;['regional sales representative', 'senior account manager'];['41-4012', '11-2022'];['41-40', '11-20'];['41', '11'];[('41-4012', '41-40', '41', 'regional sales representative'), ('11-2022', '11-20', '11', 'senior account manager')];2
107;3351;['national sales manager', 'regional sales representative'];['11-2022', '41-4012'];['11-20', '41-40'];['11', '41'];[('11-2022', '11-20', '11', 'national sales manager'), ('41-4012', '41-40', '41', 'regional sales representative')];2
108;3381;['unit secretary', 'service writer'];['43-6013', '43-4051'];['43-60', '43-40'];['43', '43'];[('43-6013', '43-60', '43', 'unit secretary'), ('43-4051', '43-40', '43', 'service writer')];2
110;3475;['maintenance technician', 'maintenance technician', 'maintenance technician'];['49-9071', '49-9071', '49-9071'];['49-90', '49-90', '49-90'];['49', '49', '49'];[('49-9071', '49-90', '49', 'maintenance technician'), ('49-9071', '49-90', '49', 'maintenance technician'), ('49-9071', '49-90', '49', 'maintenance technician')];3
