Index;UserId;JobTitle;DetailedOccupation;MinorGroup;MajorGroup;JobTitle_token;JobTitle_token_Id
107;1206;promptly efficiently prepared required monthly documentation supervisor;43-1011;43-10;43;promptly efficiently prepared required monthly documentation supervisor;[0, 0, 0, 1191, 1192, 403, 18]
108;1226;lpn staff nurse;29-2061;29-20;29;lpn staff nurse;[140, 52, 30]
109;1226;mis records supervisor;43-1011;43-10;43;mis records supervisor;[362, 182, 18]
110;1226;office manager;43-1011;43-10;43;office manager;[8, 1]
111;1226;cpa mba;13-2011;13-20;13;cpa mba;[378, 0]
112;1226;relief charge nurse;29-1141;29-10;29;relief charge nurse;[717, 166, 30]
113;1226;skilled unit staff nurse;29-1141;29-10;29;skilled unit staff nurse;[718, 173, 52, 30]
114;1355;glazier;47-2121;47-20;47;glazier;[805]
115;1355;glazier;47-2121;47-20;47;glazier;[805]
116;1374;warehouse assistant;53-7065;53-70;53;warehouse assistant;[62, 2]
117;1374;fork lift operator;53-7051;53-70;53;fork lift operator;[458, 363, 38]
118;1374;security guard;33-9032;33-90;33;security guard;[63, 165]
119;1374;sales clerk;41-2031;41-20;41;sales clerk;[3, 13]
120;1486;server;35-3031;35-30;35;server;[65]
121;1486;cashier;41-2011;41-20;41;cashier;[15]
122;1541;customer service;43-4051;43-40;43;customer service;[5, 4]
123;1541;customer service;43-4051;43-40;43;customer service;[5, 4]
124;1541;office manager loan processor;43-1011;43-10;43;office manager loan processor;[8, 1, 64, 112]
125;1541;marketing manager;11-2021;11-20;11;marketing manager;[35, 1]
126;1541;marketing manager;11-2021;11-20;11;marketing manager;[35, 1]
127;1541;machine shop precious metals scheduling;51-1011;51-10;51;machine shop precious metals scheduling;[144, 304, 0, 0, 531]
128;1563;benefits administrator;13-1141;13-10;13;benefits administrator;[221, 34]
129;1563;data entry clerk;43-9021;43-90;43;data entry clerk;[45, 59, 13]
130;1563;senior claims examiner;13-1031;13-10;13;senior claims examiner;[12, 81, 214]
131;1563;claims manager rate clerk dispatcher;29-2072;29-20;29;claims manager rate clerk dispatcher;[81, 1, 1193, 13, 174]
132;1610;audit accounting assistance;43-3031;43-30;43;audit accounting assistance;[266, 40, 308]
133;1610;audit assistance;13-2011;13-20;13;audit assistance;[266, 308]
134;1610;audit accounting assistance;43-3031;43-30;43;audit accounting assistance;[266, 40, 308]
135;1610;audit accounting articles;13-2011;13-20;13;audit accounting articles;[266, 40, 0]
136;1645;data analyst;13-1111;13-10;13;data analyst;[45, 11]
137;1645;senior data entry specialist accounts receivable;43-3031;43-30;43;senior data entry specialist accounts receivable;[12, 45, 59, 7, 48, 134]
138;1645;office assistant records coordinator assistant;43-6014;43-60;43;office assistant records coordinator assistant;[8, 2, 182, 14, 2]
139;1645;customer service representative;43-4051;43-40;43;customer service representative;[5, 4, 6]
140;1769;sales support;41-4012;41-40;41;sales support;[3, 17]
141;1769;purchasing claims representative;43-4051;43-40;43;purchasing claims representative;[86, 81, 6]
142;1769;customer service supervisor;43-1011;43-10;43;customer service supervisor;[5, 4, 18]
143;1769;property manager;11-9141;11-90;11;property manager;[95, 1]
144;1769;level associate;41-2031;41-20;41;level associate;[225, 9]
145;1769;office assistant;43-6014;43-60;43;office assistant;[8, 2]
146;1800;general manager;11-1021;11-10;11;general manager;[32, 1]
147;1800;director operations;11-1021;11-10;11;director operations;[16, 20]
148;2003;picker packer;53-7064;53-70;53;picker packer;[325, 317]
149;2003;warehouse worker;53-7062;53-70;53;warehouse worker;[62, 68]
150;2017;sr project manager;13-1082;13-10;13;sr project manager;[53, 23, 1]
151;2017;superintendant pm;11-9021;11-90;11;superintendant pm;[0, 1194]
152;2032;clinical social worker;21-1023;21-10;21;clinical social worker;[161, 195, 68]
153;2032;representative velez professional services;29-2099;29-20;29;representative velez professional services;[6, 0, 226, 47]
154;2166;certified medical assistant dermatology;31-9092;31-90;31;certified medical assistant dermatology;[74, 26, 2, 0]
155;2166;office supervisor events coordinator;43-1011;43-10;43;office supervisor events coordinator;[8, 18, 404, 14]
156;2166;medical assistant ob gyn;31-9092;31-90;31;medical assistant ob gyn;[26, 2, 1195, 950]
157;2166;medical assistant;31-9092;31-90;31;medical assistant;[26, 2]
158;2166;medical assistant hst lab assistant;31-9092;31-90;31;medical assistant hst lab assistant;[26, 2, 0, 232, 2]
159;2203;accounts receivable clerk;43-3031;43-30;43;accounts receivable clerk;[48, 134, 13]
160;2203;bookkeeper;43-3031;43-30;43;bookkeeper;[124]
161;2203;customer service rep;43-4051;43-40;43;customer service rep;[5, 4, 44]
162;2241;quality control manager;11-3051;11-30;11;quality control manager;[71, 97, 1]
163;2241;quality assurance manager;11-3051;11-30;11;quality assurance manager;[71, 167, 1]
164;2241;quality control inspector pdi technician;51-9061;51-90;51;quality control inspector pdi technician;[71, 97, 217, 0, 24]
165;2272;activity aide receptionist;43-4171;43-40;43;activity aide receptionist;[1196, 131, 27]
166;2272;personal secretary;43-6014;43-60;43;personal secretary;[130, 46]
167;2327;cashier;41-2011;41-20;41;cashier;[15]
168;2327;teller;43-3071;43-30;43;teller;[99]
169;2327;cashier;41-2011;41-20;41;cashier;[15]
170;2327;contract clerical data entry desk;43-9061;43-90;43;contract clerical data entry desk;[80, 122, 45, 59, 58]
171;2327;delivery clerk;53-7065;53-70;53;delivery clerk;[172, 13]
172;2337;file clerk;43-4071;43-40;43;file clerk;[286, 13]
173;2337;accountant clerk;43-3031;43-30;43;accountant clerk;[36, 13]
174;2337;sales associate cashier;41-2011;41-20;41;sales associate cashier;[3, 9, 15]
175;2337;file clerk;43-4071;43-40;43;file clerk;[286, 13]
176;2337;driver helper;53-7199;53-70;53;driver helper;[25, 379]
177;2337;sales associate;41-2031;41-20;41;sales associate;[3, 9]
178;2337;order processor;43-4151;43-40;43;order processor;[185, 112]
179;2385;charge;29-1141;29-10;29;charge;[166]
180;2385;overnight grocery stock clerk;53-7065;53-70;53;overnight grocery stock clerk;[490, 349, 183, 13]
181;2386;waitress;35-3031;35-30;35;waitress;[178]
182;2386;waitress;35-3031;35-30;35;waitress;[178]
183;2386;waitress;35-3031;35-30;35;waitress;[178]
184;2386;buser waitress;35-3031;35-30;35;buser waitress;[0, 178]
185;2393;instructor community health ed center;21-1091;21-10;21;instructor community health ed center;[196, 189, 73, 1197, 77]
186;2393;logistics lead;13-1081;13-10;13;logistics lead;[155, 37]
187;2432;maintenance administrator;15-1244;15-12;15;maintenance administrator;[72, 34]
188;2432;residential aide independent living assistant geriatrics;31-1122;31-10;31;residential aide independent living assistant geriatrics;[235, 131, 296, 532, 2, 0]
189;2432;office automation clerk;43-9061;43-90;43;office automation clerk;[8, 951, 13]
190;2481;general manager;11-1021;11-10;11;general manager;[32, 1]
191;2481;general manager;11-1021;11-10;11;general manager;[32, 1]
192;2528;child care teacher;25-2011;25-20;25;child care teacher;[326, 55, 51]
193;2528;child care teacher;25-2011;25-20;25;child care teacher;[326, 55, 51]
194;2528;child care teacher;25-2011;25-20;25;child care teacher;[326, 55, 51]
195;2549;extended day teacher;25-2011;25-20;25;extended day teacher;[1198, 428, 51]
196;2549;truck driver;53-3032;53-30;53;truck driver;[89, 25]
197;2549;warehouse assistant;53-7065;53-70;53;warehouse assistant;[62, 2]
198;2604;service advisor;43-4051;43-40;43;service advisor;[4, 147]
199;2604;auto sales manager;11-2022;11-20;11;auto sales manager;[309, 3, 1]
200;2638;toll collector;41-2011;41-20;41;toll collector;[1199, 143]
201;2638;cashier;41-2011;41-20;41;cashier;[15]
202;2638;cashier;41-2011;41-20;41;cashier;[15]
203;2652;collection coordinator customer service specialist;43-4051;43-40;43;collection coordinator customer service specialist;[186, 14, 5, 4, 7]
204;2652;secretary ii receptionist;43-4171;43-40;43;secretary ii receptionist;[46, 61, 27]
205;2652;clerical assistant receptionist;43-9061;43-90;43;clerical assistant receptionist;[122, 2, 27]
206;2658;mail room clerk;43-9051;43-90;43;mail room clerk;[287, 288, 13]
207;2658;office clerk receptionist;43-9061;43-90;43;office clerk receptionist;[8, 13, 27]
208;2658;teller loan interviewer;43-3071;43-30;43;teller loan interviewer;[99, 64, 719]
209;2658;teller loan interviewer;43-3071;43-30;43;teller loan interviewer;[99, 64, 719]
210;2731;clinical manager dmeplus;29-1141;29-10;29;clinical manager dmeplus;[161, 1, 0]
211;2731;supervisor bill review services;43-1011;43-10;43;supervisor bill review services;[18, 1200, 429, 47]
212;2731;senior nurse manager;29-1141;29-10;29;senior nurse manager;[12, 30, 1]
213;2731;clinical nurse specialist;29-1141;29-10;29;clinical nurse specialist;[161, 30, 7]
214;2731;registered nurse;29-1141;29-10;29;registered nurse;[94, 30]
215;2731;clinical nurse specialist;29-1141;29-10;29;clinical nurse specialist;[161, 30, 7]
216;2739;customer service advocate lumenos;43-4051;43-40;43;customer service advocate lumenos;[5, 4, 305, 0]
217;2739;account representative;41-4012;41-40;41;account representative;[29, 6]
218;2739;customer service specialist;43-4051;43-40;43;customer service specialist;[5, 4, 7]
219;2754;safety training specialist;13-1151;13-10;13;safety training specialist;[202, 125, 7]
220;2754;human resources recruiter;13-1071;13-10;13;human resources recruiter;[33, 41, 132]
221;2848;human resources generalist;13-1071;13-10;13;human resources generalist;[33, 41, 210]
222;2848;marketing coordinator;13-1161;13-10;13;marketing coordinator;[35, 14]
223;2865;plant supervisor;51-1011;51-10;51;plant supervisor;[184, 18]
224;2865;plant supervisor;51-1011;51-10;51;plant supervisor;[184, 18]
225;2888;loan specialist;43-4131;43-40;43;loan specialist;[64, 7]
226;2888;executive accounts coordinator;43-6011;43-60;43;executive accounts coordinator;[19, 48, 14]
227;2888;corporate collection manager canada;11-3031;11-30;11;corporate collection manager canada;[96, 186, 1, 952]
228;2888;collections representative;43-3011;43-30;43;collections representative;[138, 6]
229;2898;computer manager microsoft office solution;11-3021;11-30;11;computer manager microsoft office solution;[76, 1, 639, 8, 806]
230;2898;computer manager;11-3021;11-30;11;computer manager;[76, 1]
231;2914;data entry purchase orders;43-9021;43-90;43;data entry purchase orders;[45, 59, 1201, 533]
232;2914;cashier bakery clerk;41-2011;41-20;41;cashier bakery clerk;[15, 807, 13]
233;2964;collection agent;43-3011;43-30;43;collection agent;[186, 49]
234;2964;collection agent;43-3011;43-30;43;collection agent;[186, 49]
235;2964;customer service representative ii;43-4051;43-40;43;customer service representative ii;[5, 4, 6, 61]
236;2964;customer service representative ii;43-4051;43-40;43;customer service representative ii;[5, 4, 6, 61]
237;2964;customer service representative ii;43-4051;43-40;43;customer service representative ii;[5, 4, 6, 61]
238;3054;lot attendant;43-6011;43-60;43;lot attendant;[953, 267]
239;3054;directors assistant;41-2031;41-20;41;directors assistant;[1202, 2]
240;3069;receiving clerk;43-5071;43-50;43;receiving clerk;[119, 13]
241;3069;receiving clerk;43-5071;43-50;43;receiving clerk;[119, 13]
242;3069;receiving clerk;43-5071;43-50;43;receiving clerk;[119, 13]
243;3123;microsoft certified specialist exam;15-1232;15-12;15;microsoft certified specialist exam;[639, 74, 7, 1203]
244;3123;aba special education supervisor outside contractor time;25-2059;25-20;25;aba special education supervisor outside contractor time;[1204, 211, 219, 18, 192, 207, 113]
245;3123;assistant credit manager administrator;11-3031;11-30;11;assistant credit manager administrator;[2, 111, 1, 34]
246;3145;grant accountant;13-2011;13-20;13;grant accountant;[0, 36]
247;3145;site manager;11-9021;11-90;11;site manager;[269, 1]
248;3145;hampton city treasurer;11-3031;11-30;11;hampton city treasurer;[0, 459, 316]
249;3164;credit account representative ii;43-3011;43-30;43;credit account representative ii;[111, 29, 6, 61]
250;3164;customer service representative;43-4051;43-40;43;customer service representative;[5, 4, 6]
251;3164;customer service representative;43-4051;43-40;43;customer service representative;[5, 4, 6]
252;3165;credit analyst;13-2041;13-20;13;credit analyst;[111, 11]
253;3165;financial assistant;43-3031;43-30;43;financial assistant;[43, 2]
254;3176;supervisor;51-1011;51-10;51;supervisor;[18]
255;3176;lifeguard;33-9092;33-90;33;lifeguard;[341]
256;3176;customer service representative;43-4051;43-40;43;customer service representative;[5, 4, 6]
257;3316;regional sales representative;41-4012;41-40;41;regional sales representative;[69, 3, 6]
258;3316;senior account manager;11-2022;11-20;11;senior account manager;[12, 29, 1]
259;3351;national sales manager;11-2022;11-20;11;national sales manager;[175, 3, 1]
260;3351;regional sales representative;41-4012;41-40;41;regional sales representative;[69, 3, 6]
261;3381;unit secretary;43-6013;43-60;43;unit secretary;[173, 46]
262;3381;service writer;43-4051;43-40;43;service writer;[4, 640]
263;3475;maintenance technician;49-9071;49-90;49;maintenance technician;[72, 24]
264;3475;maintenance technician;49-9071;49-90;49;maintenance technician;[72, 24]
265;3475;maintenance technician;49-9071;49-90;49;maintenance technician;[72, 24]
266;3491;manager convenience store gas station;41-1011;41-10;41;manager convenience store gas station;[1, 954, 39, 641, 1205]
267;3491;presidential apartments manager durham nc;11-9141;11-90;11;presidential apartments manager durham nc;[0, 642, 1, 0, 1206]
268;3491;business manager;11-1021;11-10;11;business manager;[28, 1]
269;3491;teacher;25-2021;25-20;25;teacher;[51]
270;3491;manager awards shop sales excellence;41-1011;41-10;41;manager awards shop sales excellence;[1, 955, 304, 3, 956]
271;3491;night manager retail specialty store;41-1011;41-10;41;night manager retail specialty store;[236, 1, 78, 405, 39]
272;3491;phone interviewer;43-4111;43-40;43;phone interviewer;[534, 719]
273;3539;senior warehouse technician;53-7065;53-70;53;senior warehouse technician;[12, 62, 24]
274;3539;customer service special services representative;43-4051;43-40;43;customer service special services representative;[5, 4, 211, 47, 6]
275;3638;superintendent;11-9021;11-90;11;superintendent;[179]
276;3638;superintendent;11-9021;11-90;11;superintendent;[179]
277;3638;superintendent;11-9021;11-90;11;superintendent;[179]
278;3638;president;11-1011;11-10;11;president;[31]
279;3644;caregiver;31-1122;31-10;31;caregiver;[224]
280;3644;member services representative;43-4051;43-40;43;member services representative;[101, 47, 6]
281;3644;child youth program assistant;21-1093;21-10;21;child youth program assistant;[326, 310, 115, 2]
282;3688;assisting customers;41-2031;41-20;41;assisting customers;[535, 406]
283;3688;route sales rep;53-3031;53-30;53;route sales rep;[227, 3, 44]
284;3688;driver warehouse;53-3033;53-30;53;driver warehouse;[25, 62]
285;3699;sales;41-2031;41-20;41;sales;[3]
286;3699;assistant stylist sales;41-2031;41-20;41;assistant stylist sales;[2, 0, 3]
287;3752;aerospace engineer;17-2011;17-20;17;aerospace engineer;[957, 22]
288;3752;ocean lifeguard;33-9092;33-90;33;ocean lifeguard;[1207, 341]
289;3758;united parcel service ups community internship program cip;53-3033;53-30;53;united parcel service ups community internship program cip;[460, 1208, 4, 643, 189, 318, 115, 0]
290;3758;consultant;13-1111;13-10;13;consultant;[21]
291;3758;director youth employment services;11-9151;11-90;11;director youth employment services;[16, 310, 289, 47]
292;3763;waiter;35-3031;35-30;35;waiter;[430]
293;3763;waiter;35-3031;35-30;35;waiter;[430]
294;3801;security guard;33-9032;33-90;33;security guard;[63, 165]
295;3801;paratransit driver;53-3053;53-30;53;paratransit driver;[1209, 25]
296;3801;senior customer sales associate;41-2031;41-20;41;senior customer sales associate;[12, 5, 3, 9]
297;3830;regional sales manager united states canada;11-2022;11-20;11;regional sales manager united states canada;[69, 3, 1, 460, 491, 952]
298;3830;sales increase;41-4012;41-40;41;sales increase;[3, 1210]
299;3846;office manager account payables;43-1011;43-10;43;office manager account payables;[8, 1, 29, 644]
300;3846;senior customer service rep national business services department;43-4051;43-40;43;senior customer service rep national business services department;[12, 5, 4, 44, 175, 28, 47, 83]
301;3846;credit collection representative;43-3011;43-30;43;credit collection representative;[111, 186, 6]
302;3992;customer service rep;43-4051;43-40;43;customer service rep;[5, 4, 44]
303;3992;sr account rep;41-4012;41-40;41;sr account rep;[53, 29, 44]
304;3992;asst gen. mngr;43-6014;43-60;43;asst gen mngr;[168, 0, 0]
305;4049;director operations;11-1021;11-10;11;director operations;[16, 20]
306;4049;general manager;11-1021;11-10;11;general manager;[32, 1]
307;4049;consultant general manager;11-1021;11-10;11;consultant general manager;[21, 32, 1]
308;4049;training manager;11-3131;11-30;11;training manager;[125, 1]
309;4049;i. wolf gang puck cafe corporate operations multi unit manager;11-1021;11-10;11;i. wolf gang puck cafe corporate operations multi unit manager;[0, 0, 0, 0, 645, 96, 20, 580, 173, 1]
310;4061;vice president supply chain operations;11-3071;11-30;11;vice president supply chain operations;[50, 31, 247, 380, 20]
311;4061;operations manager;11-1021;11-10;11;operations manager;[20, 1]
312;4061;regional project accounting manager;11-3031;11-30;11;regional project accounting manager;[69, 23, 40, 1]
313;4061;regional accounting manager;11-3031;11-30;11;regional accounting manager;[69, 40, 1]
314;4061;general accounting manager;11-3031;11-30;11;general accounting manager;[32, 40, 1]
315;4061;controller;11-3031;11-30;11;controller;[79]
316;4061;project management accountant;13-2011;13-20;13;project management accountant;[23, 60, 36]
317;4061;controller;11-3031;11-30;11;controller;[79]
318;4107;professional truck driver company;53-3032;53-30;53;professional truck driver company;[226, 89, 25, 311]
319;4107;district deputy clerk;43-4031;43-40;43;district deputy clerk;[87, 407, 13]
320;4107;data entry oper iii;43-9021;43-90;43;data entry oper iii;[45, 59, 0, 169]
321;4107;tsc customer service representative;43-4051;43-40;43;tsc customer service representative;[1211, 5, 4, 6]
322;4107;general clerk;43-9061;43-90;43;general clerk;[32, 13]
323;4125;food beverage director tampa lowry park zoo;11-9051;11-90;11;food beverage director tampa lowry park zoo;[162, 327, 16, 1212, 0, 0, 0]
324;4125;sales operations manager;11-2022;11-20;11;sales operations manager;[3, 20, 1]
325;4125;sales operations manager;11-2022;11-20;11;sales operations manager;[3, 20, 1]
326;4164;superintendent;11-9021;11-90;11;superintendent;[179]
327;4164;superintendent kennecott green creek hawk inlet alaska;11-9021;11-90;11;superintendent kennecott green creek hawk inlet alaska;[179, 0, 0, 958, 0, 0, 0]
328;4164;epa superfund site superintendent;11-9021;11-90;11;epa superfund site superintendent;[0, 0, 269, 179]
329;4164;relief production operator;51-9199;51-90;51;relief production operator;[717, 67, 38]
330;4164;superintendent;11-9021;11-90;11;superintendent;[179]
331;4188;sales consultant;41-2031;41-20;41;sales consultant;[3, 21]
332;4188;computer lab assistant;31-9092;31-90;31;computer lab assistant;[76, 232, 2]
333;4188;receptionist;43-4171;43-40;43;receptionist;[27]
334;4202;forklift driver;53-7051;53-70;53;forklift driver;[128, 25]
335;4202;forklift driver;53-7051;53-70;53;forklift driver;[128, 25]
336;4243;customer service representative;43-4051;43-40;43;customer service representative;[5, 4, 6]
337;4243;cashier;41-2011;41-20;41;cashier;[15]
338;4243;customer service representative;43-4051;43-40;43;customer service representative;[5, 4, 6]
339;4250;concession;35-3023;35-30;35;concession;[808]
340;4250;clerical;43-9061;43-90;43;clerical;[122]
341;4360;global materials planner;43-5061;43-50;43;global materials planner;[208, 220, 193]
342;4360;senior buyer;13-1023;13-10;13;senior buyer;[12, 105]
343;4360;purchasing supervisor;13-1023;13-10;13;purchasing supervisor;[86, 18]
344;4360;senior buyer;13-1023;13-10;13;senior buyer;[12, 105]
345;4360;senior buyer planner;13-1023;13-10;13;senior buyer planner;[12, 105, 193]
346;4360;buyer planner;13-1023;13-10;13;buyer planner;[105, 193]
347;4368;cashier;41-2011;41-20;41;cashier;[15]
348;4368;sales associate;41-2031;41-20;41;sales associate;[3, 9]
349;4368;sales associate;41-2031;41-20;41;sales associate;[3, 9]
350;4380;associate;41-2031;41-20;41;associate;[9]
351;4380;associate;41-2031;41-20;41;associate;[9]
352;4380;associate;41-2031;41-20;41;associate;[9]
353;4501;commercial bank officer;13-2072;13-20;13;commercial bank officer;[152, 241, 42]
354;4501;personal banker;43-4141;43-40;43;personal banker;[130, 205]
355;4501;store manager;11-1021;11-10;11;store manager;[39, 1]
356;4501;store manager;11-1021;11-10;11;store manager;[39, 1]
