Id	MajorGroup	MinorGroup	DetailedOccupation	JobTitle_tokens	JobTitle_tokens_idx
51	43	43-10	43-1011	lead coordinator	[37, 14]
52	43	43-40	43-4171	receptionist	[27]
53	43	43-40	43-4051	customer service representative	[5, 4, 6]
54	51	51-10	51-1011	supervisor	[18]
55	43	43-50	43-5071	shipping clerk	[129, 13]
56	35	35-30	35-3011	bartender server	[149, 65]
57	11	11-90	11-9013	asst trainer groom farm manager	[168, 110, 0, 0, 1]
58	15	15-12	15-1252	senior software engineer project leader	[12, 82, 22, 23, 109]
59	15	15-12	15-1252	software engineer	[82, 22]
60	15	15-12	15-1211	software consultant	[82, 21]
61	41	41-20	41-2031	shoe fit specialist	[803, 0, 7]
62	15	15-12	15-1251	wgci programming intern	[0, 638, 91]
63	43	43-30	43-3071	teller	[99]
64	41	41-20	41-2011	head cashier	[191, 15]
65	11	11-90	11-9141	building manager	[377, 1]
66	35	35-30	35-3011	bartender	[149]
67	53	53-30	53-3033	delivery driver	[172, 25]
68	11	11-30	11-3031	office manager chief financial officer	[8, 1, 123, 43, 42]
69	21	21-10	21-1093	victim witness assistance program	[804, 0, 308, 115]
70	43	43-40	43-4051	customer experience associate	[5, 1188, 9]
71	43	43-60	43-6014	professorial assistant	[1189, 2]
72	29	29-10	29-1141	patient care coordinator rn case manager	[98, 55, 14, 137, 114, 1]
73	29	29-10	29-1141	rn med tele pcu	[137, 530, 716, 949]
74	29	29-20	29-2061	private duty lpn rn	[402, 579, 140, 137]
75	29	29-20	29-2061	private duty lpn	[402, 579, 140]
76	29	29-20	29-2061	home health nurse lpn	[100, 73, 30, 140]
77	29	29-20	29-2061	staff lpn	[52, 140]
78	13	13-20	13-2072	senior loan officer	[12, 64, 42]
79	13	13-10	13-1151	personal trainer sales consultant	[130, 110, 3, 21]
80	33	33-90	33-9032	security guard	[63, 165]
81	53	53-30	53-3032	truck driver	[89, 25]
82	53	53-30	53-3032	driver	[25]
83	43	43-60	43-6014	assistant	[2]
84	35	35-30	35-3031	waitress	[178]
85	41	41-20	41-2031	pharmacy sales associate	[142, 3, 9]
86	43	43-10	43-1011	order management customer service	[185, 60, 5, 4]
87	51	51-90	51-9198	pickle line assistant manual laborer	[0, 218, 2, 1190, 121]
88	13	13-10	13-1161	marketing intern	[35, 91]
89	41	41-10	41-1011	retail assistant	[78, 2]
90	43	43-90	43-9021	data entry	[45, 59]
91	43	43-60	43-6011	executive assistant	[19, 2]
92	43	43-10	43-1011	promptly efficiently prepared required monthly documentation supervisor	[0, 0, 0, 1191, 1192, 403, 18]
93	29	29-20	29-2061	lpn staff nurse	[140, 52, 30]
94	43	43-10	43-1011	mis records supervisor	[362, 182, 18]
95	13	13-20	13-2011	cpa mba	[378, 0]
96	29	29-10	29-1141	relief charge nurse	[717, 166, 30]
97	29	29-10	29-1141	skilled unit staff nurse	[718, 173, 52, 30]
98	47	47-20	47-2121	glazier	[805]
99	53	53-70	53-7065	warehouse assistant	[62, 2]
100	53	53-70	53-7051	fork lift operator	[458, 363, 38]
101	41	41-20	41-2031	sales clerk	[3, 13]
102	35	35-30	35-3031	server	[65]
103	43	43-40	43-4051	customer service	[5, 4]
104	43	43-10	43-1011	office manager loan processor	[8, 1, 64, 112]
105	11	11-20	11-2021	marketing manager	[35, 1]
106	51	51-10	51-1011	machine shop precious metals scheduling	[144, 304, 0, 0, 531]
107	13	13-10	13-1141	benefits administrator	[221, 34]
108	43	43-90	43-9021	data entry clerk	[45, 59, 13]
109	13	13-10	13-1031	senior claims examiner	[12, 81, 214]
110	29	29-20	29-2072	claims manager rate clerk dispatcher	[81, 1, 1193, 13, 174]
111	43	43-30	43-3031	audit accounting assistance	[266, 40, 308]
112	13	13-20	13-2011	audit assistance	[266, 308]
113	13	13-20	13-2011	audit accounting articles	[266, 40, 0]
114	43	43-30	43-3031	senior data entry specialist accounts receivable	[12, 45, 59, 7, 48, 134]
115	43	43-60	43-6014	office assistant records coordinator assistant	[8, 2, 182, 14, 2]
116	41	41-40	41-4012	sales support	[3, 17]
117	43	43-40	43-4051	purchasing claims representative	[86, 81, 6]
118	43	43-10	43-1011	customer service supervisor	[5, 4, 18]
119	11	11-90	11-9141	property manager	[95, 1]
120	41	41-20	41-2031	level associate	[225, 9]
121	43	43-60	43-6014	office assistant	[8, 2]
122	11	11-10	11-1021	director operations	[16, 20]
123	53	53-70	53-7064	picker packer	[325, 317]
124	53	53-70	53-7062	warehouse worker	[62, 68]
125	13	13-10	13-1082	sr project manager	[53, 23, 1]
126	11	11-90	11-9021	superintendant pm	[0, 1194]
127	21	21-10	21-1023	clinical social worker	[161, 195, 68]
128	29	29-20	29-2099	representative velez professional services	[6, 0, 226, 47]
129	31	31-90	31-9092	certified medical assistant dermatology	[74, 26, 2, 0]
130	43	43-10	43-1011	office supervisor events coordinator	[8, 18, 404, 14]
131	31	31-90	31-9092	medical assistant ob gyn	[26, 2, 1195, 950]
132	31	31-90	31-9092	medical assistant	[26, 2]
133	31	31-90	31-9092	medical assistant hst lab assistant	[26, 2, 0, 232, 2]
134	43	43-30	43-3031	accounts receivable clerk	[48, 134, 13]
135	43	43-30	43-3031	bookkeeper	[124]
136	43	43-40	43-4051	customer service rep	[5, 4, 44]
137	11	11-30	11-3051	quality control manager	[71, 97, 1]
138	11	11-30	11-3051	quality assurance manager	[71, 167, 1]
139	51	51-90	51-9061	quality control inspector pdi technician	[71, 97, 217, 0, 24]
140	43	43-40	43-4171	activity aide receptionist	[1196, 131, 27]
141	43	43-60	43-6014	personal secretary	[130, 46]
142	43	43-90	43-9061	contract clerical data entry desk	[80, 122, 45, 59, 58]
143	53	53-70	53-7065	delivery clerk	[172, 13]
144	43	43-40	43-4071	file clerk	[286, 13]
145	43	43-30	43-3031	accountant clerk	[36, 13]
146	41	41-20	41-2011	sales associate cashier	[3, 9, 15]
147	53	53-70	53-7199	driver helper	[25, 379]
148	43	43-40	43-4151	order processor	[185, 112]
149	29	29-10	29-1141	charge	[166]
150	53	53-70	53-7065	overnight grocery stock clerk	[490, 349, 183, 13]
151	35	35-30	35-3031	buser waitress	[0, 178]
152	21	21-10	21-1091	instructor community health ed center	[196, 189, 73, 1197, 77]
153	13	13-10	13-1081	logistics lead	[155, 37]
154	15	15-12	15-1244	maintenance administrator	[72, 34]
155	31	31-10	31-1122	residential aide independent living assistant geriatrics	[235, 131, 296, 532, 2, 0]
156	43	43-90	43-9061	office automation clerk	[8, 951, 13]
157	25	25-20	25-2011	child care teacher	[326, 55, 51]
158	25	25-20	25-2011	extended day teacher	[1198, 428, 51]
159	43	43-40	43-4051	service advisor	[4, 147]
160	11	11-20	11-2022	auto sales manager	[309, 3, 1]
161	41	41-20	41-2011	toll collector	[1199, 143]
162	43	43-40	43-4051	collection coordinator customer service specialist	[186, 14, 5, 4, 7]
163	43	43-40	43-4171	secretary ii receptionist	[46, 61, 27]
164	43	43-90	43-9061	clerical assistant receptionist	[122, 2, 27]
165	43	43-90	43-9051	mail room clerk	[287, 288, 13]
166	43	43-90	43-9061	office clerk receptionist	[8, 13, 27]
167	43	43-30	43-3071	teller loan interviewer	[99, 64, 719]
168	29	29-10	29-1141	clinical manager dmeplus	[161, 1, 0]
169	43	43-10	43-1011	supervisor bill review services	[18, 1200, 429, 47]
170	29	29-10	29-1141	senior nurse manager	[12, 30, 1]
171	29	29-10	29-1141	clinical nurse specialist	[161, 30, 7]
172	43	43-40	43-4051	customer service advocate lumenos	[5, 4, 305, 0]
173	41	41-40	41-4012	account representative	[29, 6]
174	43	43-40	43-4051	customer service specialist	[5, 4, 7]
175	13	13-10	13-1151	safety training specialist	[202, 125, 7]
176	13	13-10	13-1071	human resources recruiter	[33, 41, 132]
177	13	13-10	13-1071	human resources generalist	[33, 41, 210]
178	13	13-10	13-1161	marketing coordinator	[35, 14]
179	51	51-10	51-1011	plant supervisor	[184, 18]
180	43	43-40	43-4131	loan specialist	[64, 7]
181	43	43-60	43-6011	executive accounts coordinator	[19, 48, 14]
182	11	11-30	11-3031	corporate collection manager canada	[96, 186, 1, 952]
183	43	43-30	43-3011	collections representative	[138, 6]
184	11	11-30	11-3021	computer manager microsoft office solution	[76, 1, 639, 8, 806]
185	11	11-30	11-3021	computer manager	[76, 1]
186	43	43-90	43-9021	data entry purchase orders	[45, 59, 1201, 533]
187	41	41-20	41-2011	cashier bakery clerk	[15, 807, 13]
188	43	43-30	43-3011	collection agent	[186, 49]
189	43	43-40	43-4051	customer service representative ii	[5, 4, 6, 61]
190	43	43-60	43-6011	lot attendant	[953, 267]
191	41	41-20	41-2031	directors assistant	[1202, 2]
192	43	43-50	43-5071	receiving clerk	[119, 13]
193	15	15-12	15-1232	microsoft certified specialist exam	[639, 74, 7, 1203]
194	25	25-20	25-2059	aba special education supervisor outside contractor time	[1204, 211, 219, 18, 192, 207, 113]
195	11	11-30	11-3031	assistant credit manager administrator	[2, 111, 1, 34]
196	13	13-20	13-2011	grant accountant	[0, 36]
197	11	11-90	11-9021	site manager	[269, 1]
198	11	11-30	11-3031	hampton city treasurer	[0, 459, 316]
199	43	43-30	43-3011	credit account representative ii	[111, 29, 6, 61]
200	13	13-20	13-2041	credit analyst	[111, 11]
201	43	43-30	43-3031	financial assistant	[43, 2]
202	33	33-90	33-9092	lifeguard	[341]
203	41	41-40	41-4012	regional sales representative	[69, 3, 6]
204	11	11-20	11-2022	senior account manager	[12, 29, 1]
205	11	11-20	11-2022	national sales manager	[175, 3, 1]
206	43	43-60	43-6013	unit secretary	[173, 46]
207	43	43-40	43-4051	service writer	[4, 640]
208	49	49-90	49-9071	maintenance technician	[72, 24]
209	41	41-10	41-1011	manager convenience store gas station	[1, 954, 39, 641, 1205]
210	11	11-90	11-9141	presidential apartments manager durham nc	[0, 642, 1, 0, 1206]
211	11	11-10	11-1021	business manager	[28, 1]
212	25	25-20	25-2021	teacher	[51]
213	41	41-10	41-1011	manager awards shop sales excellence	[1, 955, 304, 3, 956]
214	41	41-10	41-1011	night manager retail specialty store	[236, 1, 78, 405, 39]
215	43	43-40	43-4111	phone interviewer	[534, 719]
216	53	53-70	53-7065	senior warehouse technician	[12, 62, 24]
217	43	43-40	43-4051	customer service special services representative	[5, 4, 211, 47, 6]
218	11	11-90	11-9021	superintendent	[179]
219	11	11-10	11-1011	president	[31]
220	31	31-10	31-1122	caregiver	[224]
221	43	43-40	43-4051	member services representative	[101, 47, 6]
222	21	21-10	21-1093	child youth program assistant	[326, 310, 115, 2]
223	41	41-20	41-2031	assisting customers	[535, 406]
224	53	53-30	53-3031	route sales rep	[227, 3, 44]
225	53	53-30	53-3033	driver warehouse	[25, 62]
226	41	41-20	41-2031	assistant stylist sales	[2, 0, 3]
227	17	17-20	17-2011	aerospace engineer	[957, 22]
228	33	33-90	33-9092	ocean lifeguard	[1207, 341]
229	53	53-30	53-3033	united parcel service ups community internship program cip	[460, 1208, 4, 643, 189, 318, 115, 0]
230	13	13-10	13-1111	consultant	[21]
231	11	11-90	11-9151	director youth employment services	[16, 310, 289, 47]
232	35	35-30	35-3031	waiter	[430]
233	53	53-30	53-3053	paratransit driver	[1209, 25]
234	41	41-20	41-2031	senior customer sales associate	[12, 5, 3, 9]
235	11	11-20	11-2022	regional sales manager united states canada	[69, 3, 1, 460, 491, 952]
236	41	41-40	41-4012	sales increase	[3, 1210]
237	43	43-10	43-1011	office manager account payables	[8, 1, 29, 644]
238	43	43-40	43-4051	senior customer service rep national business services department	[12, 5, 4, 44, 175, 28, 47, 83]
239	43	43-30	43-3011	credit collection representative	[111, 186, 6]
240	41	41-40	41-4012	sr account rep	[53, 29, 44]
241	43	43-60	43-6014	asst gen mngr	[168, 0, 0]
242	11	11-10	11-1021	consultant general manager	[21, 32, 1]
243	11	11-30	11-3131	training manager	[125, 1]
244	11	11-10	11-1021	i. wolf gang puck cafe corporate operations multi unit manager	[0, 0, 0, 0, 645, 96, 20, 580, 173, 1]
245	11	11-30	11-3071	vice president supply chain operations	[50, 31, 247, 380, 20]
246	11	11-30	11-3031	regional project accounting manager	[69, 23, 40, 1]
247	11	11-30	11-3031	regional accounting manager	[69, 40, 1]
248	11	11-30	11-3031	general accounting manager	[32, 40, 1]
249	11	11-30	11-3031	controller	[79]
250	13	13-20	13-2011	project management accountant	[23, 60, 36]
251	53	53-30	53-3032	professional truck driver company	[226, 89, 25, 311]
252	43	43-40	43-4031	district deputy clerk	[87, 407, 13]
253	43	43-90	43-9021	data entry oper iii	[45, 59, 0, 169]
254	43	43-40	43-4051	tsc customer service representative	[1211, 5, 4, 6]
255	43	43-90	43-9061	general clerk	[32, 13]
256	11	11-90	11-9051	food beverage director tampa lowry park zoo	[162, 327, 16, 1212, 0, 0, 0]
257	11	11-20	11-2022	sales operations manager	[3, 20, 1]
258	11	11-90	11-9021	superintendent kennecott green creek hawk inlet alaska	[179, 0, 0, 958, 0, 0, 0]
259	11	11-90	11-9021	epa superfund site superintendent	[0, 0, 269, 179]
260	51	51-90	51-9199	relief production operator	[717, 67, 38]
261	41	41-20	41-2031	sales consultant	[3, 21]
262	31	31-90	31-9092	computer lab assistant	[76, 232, 2]
263	35	35-30	35-3023	concession	[808]
264	43	43-90	43-9061	clerical	[122]
265	43	43-50	43-5061	global materials planner	[208, 220, 193]
266	13	13-10	13-1023	senior buyer	[12, 105]
267	13	13-10	13-1023	purchasing supervisor	[86, 18]
268	13	13-10	13-1023	senior buyer planner	[12, 105, 193]
269	13	13-10	13-1023	buyer planner	[105, 193]
270	41	41-20	41-2031	associate	[9]
271	13	13-20	13-2072	commercial bank officer	[152, 241, 42]
272	43	43-40	43-4141	personal banker	[130, 205]
273	11	11-10	11-1021	store manager	[39, 1]
274	15	15-12	15-1244	senior systems network administrator	[12, 56, 70, 34]
275	15	15-12	15-1244	network administrator	[70, 34]
276	11	11-10	11-1021	director biometrics operations	[16, 0, 20]
277	13	13-10	13-1151	training specialist	[125, 7]
278	15	15-12	15-1251	programmer ii	[104, 61]
279	15	15-12	15-1251	programmer	[104]
280	43	43-40	43-4051	customer service associate	[5, 4, 9]
281	11	11-90	11-9051	manager food	[1, 162]
282	11	11-90	11-9051	food beverage manager catering	[162, 327, 1, 350]
283	43	43-50	43-5052	paul carrier	[0, 431]
284	21	21-10	21-1093	child youth program assistant poc	[326, 310, 115, 2, 0]
285	43	43-90	43-9061	clerk typist iii	[13, 646, 169]
286	43	43-40	43-4181	ticket agent	[1213, 49]
287	43	43-90	43-9061	clerk	[13]
288	43	43-10	43-1011	customer service lead	[5, 4, 37]
289	43	43-60	43-6014	office assistant dispatch manager	[8, 2, 492, 1]
290	31	31-90	31-9094	medical transcriptionist	[26, 581]
291	15	15-12	15-1299	computer operator	[76, 38]
292	43	43-60	43-6014	advertising coordinator administrative assistant	[297, 14, 10, 2]
293	53	53-70	53-7062	package handler	[432, 187]
294	51	51-10	51-1011	welder supervisor	[647, 18]
295	13	13-10	13-1082	project manager	[23, 1]
296	15	15-12	15-1232	helpdesk coordinator	[254, 14]
297	15	15-12	15-1232	helpdesk technician	[254, 24]
298	15	15-12	15-1231	network operations engineer level ii helpdesk technician ii	[70, 20, 22, 225, 61, 254, 24, 61]
299	33	33-90	33-9032	driver guard	[25, 165]
300	33	33-90	33-9032	security	[63]
301	53	53-30	53-3031	truck driver salesman	[89, 25, 270]
302	41	41-40	41-4012	sales representative	[3, 6]
303	41	41-40	41-4012	serviced sales accounts	[0, 3, 48]
304	29	29-20	29-2099	patient representative	[98, 6]
305	31	31-90	31-9091	schedule patients dental orthodontic appointments	[1214, 536, 209, 959, 1215]
306	35	35-30	35-3031	server hostess	[65, 278]
307	11	11-90	11-9033	director admissions	[16, 255]
308	11	11-90	11-9033	asst director admissions	[168, 16, 255]
309	11	11-10	11-1021	manager	[1]
310	13	13-20	13-2072	loan officer	[64, 42]
311	25	25-20	25-2056	reading specialist interventionist rti team	[809, 7, 0, 0, 75]
312	25	25-20	25-2021	elementary classroom teacher	[648, 810, 51]
313	41	41-40	41-4012	territory sales representative	[141, 3, 6]
314	11	11-20	11-2022	sales business development	[3, 28, 54]
315	11	11-20	11-2022	general manager sales manager	[32, 1, 3, 1]
316	11	11-30	11-3061	account manager purchasing agent	[29, 1, 86, 49]
317	11	11-30	11-3121	hr manager	[108, 1]
318	13	13-10	13-1071	hr generalist	[108, 210]
319	49	49-90	49-9071	journeyman machine repairman	[279, 144, 1216]
320	49	49-90	49-9031	tool equipment serviceman	[720, 303, 0]
321	29	29-10	29-1141	rn	[137]
322	29	29-20	29-2061	licensed practical nurse	[136, 197, 30]
323	31	31-10	31-1121	certified nursing assistant assisted living	[74, 92, 2, 721, 532]
324	43	43-40	43-4051	sales customer service representative	[3, 5, 4, 6]
325	43	43-60	43-6013	emergency department greeter unit secretary	[215, 83, 960, 173, 46]
326	43	43-40	43-4051	radiology service representative	[811, 4, 6]
327	51	51-10	51-1011	assistant operations manager	[2, 20, 1]
328	11	11-30	11-3031	assistant branch manager	[2, 106, 1]
329	11	11-10	11-1021	branch manager	[106, 1]
330	11	11-20	11-2022	vice president business development	[50, 31, 28, 54]
331	11	11-10	11-1021	district operations manager	[87, 20, 1]
332	11	11-20	11-2022	internet sales manager	[328, 3, 1]
333	41	41-40	41-4012	student accounts representative business office	[190, 48, 6, 28, 8]
334	21	21-10	21-1012	admissions coordinator	[255, 14]
335	21	21-10	21-1012	s.r admissions advisor	[0, 255, 147]
336	41	41-20	41-2031	car sales	[408, 3]
337	43	43-40	43-4131	loan secretary	[64, 46]
338	43	43-30	43-3071	loan teller loan clerk	[64, 99, 64, 13]
339	43	43-90	43-9061	clerk wic clerk	[13, 0, 13]
340	11	11-10	11-1011	vice president	[50, 31]
341	11	11-10	11-1021	district leader	[87, 109]
342	29	29-20	29-2061	lpn c	[140, 812]
343	29	29-20	29-2061	lpn	[140]
344	11	11-30	11-3051	quality manager	[71, 1]
345	11	11-30	11-3051	manager quality control	[1, 71, 97]
346	11	11-10	11-1021	managing partner operations	[364, 298, 20]
347	13	13-10	13-1023	purchasing agent inventory control supervisor	[86, 49, 90, 97, 18]
348	13	13-10	13-1031	inside liability claims adjuster	[139, 537, 81, 334]
349	41	41-20	41-2031	retail sales representative	[78, 3, 6]
350	43	43-60	43-6014	administrative temp	[10, 163]
351	43	43-40	43-4051	administrative assistant customer service representative	[10, 2, 5, 4, 6]
352	43	43-40	43-4051	administrative service representative billing	[10, 4, 6, 84]
353	47	47-20	47-2111	electrician	[148]
354	51	51-90	51-9071	gemologist	[0]
355	11	11-20	11-2022	sales manager	[3, 1]
356	41	41-10	41-1011	leader coordinator	[109, 14]
357	11	11-90	11-9151	operations outreach director	[20, 381, 16]
358	17	17-20	17-2112	quality engineer cqe cssgb	[71, 22, 0, 0]
359	17	17-20	17-2112	test engineer	[290, 22]
360	29	29-10	29-1126	senior respiratory solutions	[12, 649, 335]
361	11	11-30	11-3061	director marketing purchasing	[16, 35, 86]
362	11	11-30	11-3061	director marketing purchasing delivery	[16, 35, 86, 172]
363	43	43-40	43-4051	member service	[101, 4]
364	43	43-40	43-4051	customer service representative iii	[5, 4, 6, 169]
365	43	43-30	43-3031	bookkeeping clerk	[582, 13]
366	43	43-30	43-3051	payroll specialist	[103, 7]
367	29	29-20	29-2072	assistant medical records specialist	[2, 26, 182, 7]
368	43	43-90	43-9021	data processor	[45, 112]
369	29	29-20	29-2072	records specialist	[182, 7]
370	15	15-12	15-1211	systems analyst	[56, 11]
371	43	43-50	43-5071	level iv senior lead shipping receiving associate	[225, 813, 12, 37, 129, 119, 9]
372	33	33-90	33-9032	security officer unarmed	[63, 42, 583]
373	53	53-70	53-7065	materials receiving purchasing clerk	[220, 119, 86, 13]
374	43	43-10	43-1011	head teller service manager	[191, 99, 4, 1]
375	43	43-40	43-4051	customer support agent	[5, 17, 49]
376	41	41-30	41-3021	insurance agent	[116, 49]
377	51	51-10	51-1011	paint shop supervisor	[961, 304, 18]
378	13	13-10	13-1121	event staff	[271, 52]
379	41	41-20	41-2031	easy tech sales associate	[0, 135, 3, 9]
380	11	11-20	11-2022	director sales	[16, 3]
381	11	11-20	11-2022	regional sales manager	[69, 3, 1]
382	11	11-20	11-2022	director sales new business	[16, 3, 242, 28]
383	11	11-20	11-2022	senior district sales manager	[12, 87, 3, 1]
384	53	53-30	53-3033	delivery expert	[172, 461]
385	11	11-30	11-3071	warehouse manager	[62, 1]
386	11	11-30	11-3021	director information technology	[16, 120, 170]
387	11	11-30	11-3021	chief information officer	[123, 120, 42]
388	11	11-20	11-2022	billion sales	[0, 3]
389	11	11-30	11-3051	director product development quality assurance	[16, 107, 54, 71, 167]
390	15	15-12	15-1251	systems programmer	[56, 104]
391	21	21-10	21-1093	assistant student services	[2, 190, 47]
392	43	43-60	43-6014	marketing assistant	[35, 2]
393	11	11-90	11-9051	restaurant retail manager	[295, 78, 1]
394	11	11-20	11-2021	marketing consultant corporate identity manager	[35, 21, 96, 0, 1]
395	15	15-12	15-1242	dba	[382]
396	43	43-30	43-3031	accounts payable coordinator	[48, 85, 14]
397	43	43-30	43-3031	accounts receivable hr specialist benefits ii	[48, 134, 108, 7, 221, 61]
398	41	41-10	41-1011	commission sales team supervisor	[962, 3, 75, 18]
399	11	11-30	11-3031	vice president cfo	[50, 31, 433]
400	11	11-30	11-3031	plant controller	[184, 79]
401	13	13-20	13-2051	senior financial analyst	[12, 43, 11]
402	13	13-20	13-2041	senior credit analyst	[12, 111, 11]
403	43	43-40	43-4051	customer service representitive	[5, 4, 0]
404	41	41-30	41-3031	insurance securities agent	[116, 963, 49]
405	41	41-10	41-1011	assistant store manager	[2, 39, 1]
406	43	43-60	43-6014	facility assistant	[233, 2]
407	47	47-20	47-2111	commercial electrician apprentice	[152, 148, 272]
408	13	13-10	13-1161	hard lines supervisor marketing representative	[964, 409, 18, 35, 6]
409	43	43-40	43-4111	patient registration rep	[98, 493, 44]
410	29	29-20	29-2099	patient service rep	[98, 4, 44]
411	43	43-90	43-9041	insurance underwriting assistant	[116, 538, 2]
412	13	13-10	13-1031	licensed producer oklahoma property casualty lines	[136, 584, 0, 95, 965, 409]
413	47	47-20	47-2152	plumber	[365]
414	13	13-10	13-1023	cnstr eng purchase agent inspections	[0, 814, 1201, 49, 0]
415	51	51-90	51-9198	porter production worker	[0, 67, 68]
416	43	43-60	43-6011	senior administrative assistant	[12, 10, 2]
417	43	43-60	43-6011	executive administrative assistant	[19, 10, 2]
418	43	43-60	43-6014	coordinator	[14]
419	43	43-60	43-6011	office manager executive administrative assistant	[8, 1, 19, 10, 2]
420	41	41-30	41-3091	senior account executive	[12, 29, 19]
421	13	13-10	13-1121	special events coordinator	[211, 404, 14]
422	43	43-30	43-3031	accounts receivable assistant	[48, 134, 2]
423	15	15-12	15-1252	ms sql server ssrs ssis developer	[410, 411, 65, 815, 816, 66]
424	15	15-12	15-1252	ms sql server ssis ssrs ssas developer	[410, 411, 65, 816, 815, 966, 66]
425	15	15-12	15-1252	ms sql server dts developer	[410, 411, 65, 0, 66]
426	15	15-12	15-1252	ms sql server developer	[410, 411, 65, 66]
427	43	43-60	43-6011	executive assistant director	[19, 2, 16]
428	43	43-60	43-6011	administrative assistant director	[10, 2, 16]
429	33	33-90	33-9032	security officer	[63, 42]
430	35	35-30	35-3023	crew member	[153, 101]
431	11	11-20	11-2022	vp sales	[203, 3]
432	11	11-10	11-1011	president founder	[31, 366]
433	11	11-30	11-3021	vp certification programs	[203, 967, 539]
434	29	29-10	29-1141	senior clinical specialist	[12, 161, 7]
435	11	11-20	11-2022	territory sales manager	[141, 3, 1]
436	29	29-10	29-1141	clinical specialist	[161, 7]
437	43	43-40	43-4171	tour receptionist	[1217, 27]
438	17	17-20	17-2011	aircraft systems design engineer g250 fuselage aircraft	[462, 56, 159, 22, 0, 0, 462]
439	17	17-20	17-2011	aircraft systems design engineer	[462, 56, 159, 22]
440	17	17-20	17-2011	aircraft structural design engineer	[462, 463, 159, 22]
441	43	43-60	43-6012	legal assistant secretary	[118, 2, 46]
442	33	33-90	33-9032	security officer trainee	[63, 42, 262]
443	33	33-90	33-9032	security assistant	[63, 2]
444	17	17-20	17-2141	project manager mechanical engineer tool designer resource	[23, 1, 212, 22, 720, 176, 150]
445	17	17-20	17-2141	project manager machines tool designer machinist	[23, 1, 1218, 720, 176, 1219]
446	31	31-10	31-1122	personal caretaker home manager	[130, 1220, 100, 1]
447	25	25-20	25-2021	instructor	[196]
448	31	31-90	31-9092	lab assistant	[232, 2]
449	31	31-90	31-9092	registered medical assistant	[94, 26, 2]
450	29	29-20	29-2052	pharmacy assistant	[142, 2]
451	31	31-90	31-9091	dental assistant	[209, 2]
452	43	43-60	43-6014	administrative student assistant	[10, 190, 2]
453	43	43-90	43-9061	receptionist records management	[27, 182, 60]
