;Src;Dst;Weight
220;524;525;1
221;526;527;1
222;52;52;1
223;136;528;1
224;529;529;1
225;530;82;1
226;103;418;1
227;532;533;1
228;534;535;1
229;536;34;1
230;539;540;1
231;11;11;1
232;353;208;1
233;544;545;1
234;208;208;1
235;550;551;1
236;552;553;1
237;272;554;1
238;555;556;1
239;557;558;1
240;560;560;1
241;561;562;1
242;564;565;1
243;567;568;1
244;570;571;1
245;574;78;1
246;576;82;1
247;578;579;1
248;581;582;1
249;135;583;1
250;102;49;1
251;584;585;1
252;132;132;1
253;588;588;1
254;590;501;1
255;519;593;1
256;355;309;1
257;309;302;1
258;598;295;1
259;273;273;1
260;219;603;1
261;103;53;1
262;610;32;1
263;614;614;1
264;615;616;1
265;41;617;1
266;620;498;1
267;53;622;1
268;625;34;1
269;626;34;1
270;628;629;1
271;631;632;1
272;634;24;1
273;635;635;1
274;636;637;1
275;640;641;1
276;451;642;1
277;644;644;1
278;648;649;1
279;650;651;1
280;654;655;1
281;658;192;1
282;659;660;1
283;53;661;1
284;665;430;1
285;666;667;1
286;669;670;1
287;671;102;1
288;121;672;1
289;673;673;1
290;674;675;1
291;676;677;1
292;679;679;1
293;681;681;1
294;682;683;1
295;41;473;1
296;680;34;1
297;52;451;1
298;322;322;1
299;230;687;1
300;689;690;1
301;691;48;1
302;693;693;1
303;694;695;1
304;699;699;1
305;700;103;1
306;701;42;1
307;53;451;1
308;703;704;1
309;705;705;1
310;706;707;1
311;708;709;1
312;712;11;1
313;714;715;1
314;719;309;1
315;2;720;1
316;722;723;1
317;555;725;1
318;727;728;1
319;730;731;1
320;733;78;1
321;736;737;1
322;739;740;1
323;741;742;1
324;372;743;1
325;744;42;1
326;4;745;1
327;746;273;1
328;747;748;1
329;34;749;1
330;701;750;1
331;752;752;1
332;753;219;1
333;755;49;1
334;756;757;1
335;758;49;1
336;760;761;1
337;762;9;1
338;699;208;1
339;449;66;1
340;103;763;1
341;177;764;1
342;765;766;1
343;309;42;1
344;53;261;1
345;772;773;1
346;631;774;1
347;775;776;1
348;777;26;1
349;779;273;1
350;474;474;1
351;781;782;1
352;784;785;1
353;786;49;1
354;787;788;1
355;790;791;1
356;793;793;1
357;794;11;1
358;796;797;1
359;800;801;1
360;355;551;1
361;53;53;1
362;803;11;1
363;353;804;1
364;47;809;1
365;813;220;1
366;815;816;1
367;38;819;1
368;699;820;1
369;102;821;1
370;822;823;1
371;796;824;1
372;828;829;1
373;832;52;1
374;49;11;1
375;833;834;1
376;835;270;1
377;837;838;1
378;840;514;1
379;13;841;1
380;197;549;1
381;843;844;1
382;52;846;1
383;13;847;1
384;850;851;1
385;852;853;1
386;856;857;1
387;858;858;1
388;859;859;1
389;32;861;1
390;862;863;1
391;864;865;1
392;867;280;1
393;454;870;1
394;84;84;1
395;873;874;1
396;878;879;1
397;880;881;1
398;882;701;1
399;499;885;1
400;447;49;1
401;887;888;1
402;890;891;1
403;893;894;1
404;895;49;1
405;41;596;1
406;901;902;1
407;903;24;1
408;904;512;1
409;42;53;1
410;905;906;1
411;907;908;1
412;909;26;1
413;911;911;1
414;912;913;1
415;280;53;1
416;102;14;1
417;916;917;1
418;920;921;1
419;925;919;1
420;926;927;1
421;928;929;1
422;931;932;1
423;13;340;1
424;936;83;1
425;513;513;1
426;49;937;1
427;41;273;1
428;938;355;1
429;520;940;1
430;943;49;1
431;946;144;1
432;53;947;1
433;948;949;1
434;951;302;1
435;952;953;1
436;59;60;1
437;959;960;1
438;962;212;1
439;964;965;1
440;966;967;1
441;971;972;1
442;930;973;1
443;974;975;1
444;81;67;1
445;979;979;1
446;429;980;1
447;981;982;1
448;136;987;1
449;989;989;1
450;990;991;1
451;992;42;1
452;994;995;1
453;41;998;1
454;355;41;1
455;136;136;1
456;536;999;1
457;273;1000;1
458;534;1001;1
459;212;11;1
460;351;309;1
461;1003;1004;1
462;1010;1011;1
463;1013;1014;1
464;53;1016;1
465;1017;1018;1
466;754;1021;1
467;103;212;1
468;1023;1024;1
469;295;1027;1
470;49;1028;1
471;288;1030;1
472;448;102;1
473;1031;1032;1
474;293;1034;1
475;132;132;1
476;1036;1037;1
477;1038;1039;1
478;1041;1042;1
479;1044;1045;1
480;1047;1048;1
481;1049;1050;1
482;67;82;1
483;91;5;1
484;212;1054;1
485;80;11;1
486;38;1057;1
487;1059;103;1
488;1060;1061;1
489;318;42;1
490;467;1067;1
491;1069;1070;1
492;1071;989;1
493;1072;202;1
494;476;1073;1
495;1074;964;1
496;1078;1079;1
497;42;1081;1
498;451;11;1
499;1085;270;1
500;42;121;1
501;1087;1088;1
502;1089;1090;1
503;1092;1093;1
504;230;230;1
505;53;1095;1
506;132;132;1
507;1096;1097;1
508;1098;1099;1
509;448;1102;1
510;1103;1104;1
511;803;803;1
512;647;1107;1
513;1109;1110;1
514;1112;52;1
515;699;699;1
516;1115;1116;1
517;1118;1119;1
518;220;54;1
519;302;1122;1
520;1123;1124;1
521;988;1126;1
522;1127;1128;1
523;1131;1132;1
524;1135;1136;1
525;1137;1138;1
526;1139;1140;1
527;121;1141;1
528;1142;555;1
529;430;1145;1
530;329;1146;1
531;1149;1150;1
532;1152;1153;1
533;1155;1156;1
534;1157;1158;1
535;11;11;1
536;1161;1162;1
537;1164;1165;1
538;1167;1168;1
539;1171;219;1
540;1173;1174;1
541;53;53;1
542;1179;1180;1
543;1182;1183;1
544;1184;1184;1
545;103;11;1
546;1185;1186;1
547;1187;49;1
548;1188;1189;1
549;299;537;1
550;1190;1132;1
551;1191;1192;1
552;310;1194;1
553;1195;1196;1
554;1198;1199;1
555;108;1201;1
556;309;309;1
557;1205;1206;1
558;877;1207;1
559;1072;49;1
560;1209;1210;1
561;42;41;1
562;53;11;1
563;1212;1213;1
564;1214;1215;1
565;868;690;1
566;49;1221;1
567;42;1224;1
568;190;103;1
569;1225;1226;1
570;1227;1228;1
571;1231;470;1
572;1233;174;1
573;1236;1237;1
574;22;22;1
575;1238;501;1
576;53;11;1
577;84;42;1
578;1239;1240;1
579;1243;309;1
580;1244;1245;1
581;1248;597;1
582;1249;1249;1
583;1252;1253;1
584;1254;1255;1
585;1257;1258;1
586;498;1260;1
587;1261;1262;1
588;1265;1266;1
589;102;11;1
590;699;82;1
591;1269;1270;1
592;1274;1275;1
593;178;121;1
594;1276;1018;1
595;1277;270;1
596;951;1278;1
597;698;1279;1
598;1281;1281;1
599;1283;1284;1
600;1285;1286;1
601;322;53;1
602;1292;273;1
603;103;11;1
604;1293;11;1
605;501;1295;1
606;1296;1297;1
607;1299;1300;1
608;1301;1302;1
609;1305;1145;1
610;13;13;1
611;42;84;1
612;13;1308;1
613;47;1309;1
614;1311;53;1
615;1317;1318;1
616;52;42;1
617;1319;1320;1
618;1323;1324;1
619;1325;699;1
620;1328;1329;1
621;507;1330;1
622;467;219;1
623;52;1332;1
624;105;105;1
625;1335;1336;1
626;32;273;1
627;1337;1338;1
628;1339;641;1
629;1341;1342;1
630;118;1344;1
631;1346;1347;1
632;1231;1348;1
633;1351;1352;1
634;1354;1355;1
635;1356;429;1
636;90;90;1
637;1357;1358;1
638;1359;1360;1
639;309;220;1
640;1362;280;1
641;1363;249;1
642;219;1365;1
643;1368;1369;1
644;132;11;1
645;1372;1373;1
646;1375;119;1
647;220;220;1
648;1376;272;1
649;49;1378;1
650;1379;41;1
651;1218;1380;1
652;1382;1383;1
653;1386;1387;1
654;1388;1389;1
655;1390;103;1
656;13;537;1
657;1392;1114;1
658;1393;53;1
659;1394;495;1
660;1395;1396;1
661;1397;49;1
662;1398;211;1
663;635;635;1
664;1400;42;1
665;1402;1403;1
666;1405;5;1
667;132;1407;1
668;1408;1409;1
669;1411;1412;1
670;1413;1414;1
671;1417;1418;1
672;1419;1420;1
673;1422;280;1
674;580;1423;1
675;1425;1426;1
676;178;1428;1
677;1431;1432;1
678;273;273;1
679;49;49;1
680;771;1434;1
681;1435;1436;1
682;202;202;1
683;1438;1439;1
684;1440;1441;1
685;1442;1443;1
686;1445;1446;1
687;507;59;1
688;1447;1448;1
689;1450;1450;1
690;1451;1452;1
691;1453;537;1
692;1455;370;1
693;1456;1105;1
694;1461;1462;1
695;1464;220;1
696;1465;41;1
697;1470;1471;1
698;1472;1472;1
699;102;1407;1
700;771;1478;1
701;1480;1481;1
702;658;658;1
703;1482;1483;1
704;1134;1484;1
705;41;41;1
706;454;454;1
707;42;1485;1
708;42;1486;1
709;136;135;1
710;1489;1490;1
711;1493;54;1
712;430;1494;1
713;136;136;1
714;513;1495;1
715;1497;366;1
716;13;1499;1
717;1500;1501;1
718;1503;1503;1
719;1504;1505;1
720;1507;1508;1
721;1511;42;1
722;1512;1513;1
723;1514;49;1
724;1515;1516;1
725;1518;1519;1
726;53;144;1
727;430;11;1
728;1524;1525;1
729;506;506;1
730;513;1528;1
731;42;1529;1
732;376;174;1
733;1531;1532;1
734;1533;1534;1
735;1536;1537;1
736;1540;1541;1
737;1543;1544;1
738;1546;519;1
739;1547;1548;1
740;704;1549;1
741;376;1551;1
742;103;49;1
743;1553;1553;1
744;1554;13;1
745;81;81;1
746;197;1555;1
747;1556;103;1
748;1557;1558;1
749;693;693;1
750;1563;1564;1
751;295;1565;1
752;1567;1568;1
753;1569;1570;1
754;1574;1575;1
755;13;13;1
756;699;1576;1
757;13;1578;1
758;1108;42;1
759;1580;49;1
760;88;1581;1
761;537;1017;1
762;1583;353;1
763;1584;355;1
764;11;1585;1
765;1587;1530;1
766;102;1105;1
767;1588;1589;1
768;1591;221;1
769;625;13;1
770;1592;1592;1
771;1593;1594;1
772;1596;1597;1
773;1600;517;1
774;857;1603;1
775;1263;454;1
776;1605;1606;1
777;124;82;1
778;1609;1610;1
779;1111;1612;1
780;349;869;1
781;1614;1615;1
782;105;1621;1
783;22;1622;1
784;1626;1627;1
785;1629;270;1
786;1630;1631;1
787;1632;1633;1
788;1634;13;1
789;91;91;1
790;1638;1639;1
791;1641;1642;1
792;1646;1647;1
793;1649;1650;1
794;1651;1651;1
795;1422;82;1
796;856;1653;1
797;745;1654;1
798;1655;1656;1
799;1659;1660;1
800;1661;121;1
801;1662;1663;1
802;1066;1664;1
803;1665;1665;1
804;1666;1667;1
805;42;1668;1
806;1669;1530;1
807;49;42;1
808;91;91;1
809;1672;1673;1
810;11;11;1
811;1674;34;1
812;1676;1677;1
813;1680;1681;1
814;1685;1686;1
815;1688;49;1
816;1690;1691;1
817;1693;53;1
818;563;118;1
819;54;54;1
820;121;1695;1
821;1700;322;1
822;392;1702;1
823;90;786;1
824;41;42;1
825;1703;1704;1
826;1706;1199;1
827;41;1710;1
828;1711;1711;1
829;1712;88;1
830;1713;1714;1
831;1716;84;1
832;48;1550;1
833;549;1719;1
834;1720;41;1
835;34;122;1
836;11;11;1
837;1725;401;1
838;1550;1612;1
839;340;519;1
840;1727;103;1
841;1728;1729;1
842;1732;1389;1
843;988;1733;1
844;1735;52;1
845;1737;275;1
846;1739;49;1
847;1742;1742;1
848;1743;464;1
849;1744;1745;1
850;355;1747;1
851;1748;1749;1
852;1750;1751;1
853;1752;1753;1
854;1754;1755;1
855;796;1757;1
856;1758;1759;1
857;1760;1761;1
858;1763;1764;1
859;230;1765;1
860;1766;1766;1
861;1768;1769;1
862;1773;1773;1
863;1775;1776;1
864;1777;1778;1
865;1374;1779;1
866;309;309;1
867;42;41;1
868;1781;1782;1
869;513;1783;1
870;42;41;1
871;1785;1786;1
872;635;1787;1
873;1788;1789;1
874;1790;914;1
875;329;13;1
876;273;1793;1
877;1794;1795;1
878;1797;644;1
879;1799;1800;1
880;1804;1805;1
881;42;1806;1
882;53;1186;1
883;1810;8;1
884;321;321;1
885;1816;1817;1
886;793;1819;1
887;1820;1820;1
888;1060;42;1
889;1824;1825;1
890;1827;1828;1
891;38;54;1
892;13;1829;1
893;1830;1831;1
894;1832;1833;1
895;1834;1835;1
896;1836;1837;1
897;1842;1430;1
898;1843;1844;1
899;1845;1846;1
900;1849;1850;1
901;520;683;1
902;1854;1855;1
903;11;11;1
904;1856;1857;1
905;1858;1859;1
906;1860;119;1
907;1862;1863;1
908;1865;1866;1
909;49;83;1
910;1867;1868;1
911;1873;1874;1
912;1876;82;1
913;1877;1878;1
914;1879;851;1
915;1881;1882;1
916;41;1884;1
917;1885;1886;1
918;1887;121;1
919;82;1888;1
920;1890;261;1
921;1512;1893;1
922;42;42;1
923;1896;103;1
924;1897;1898;1
925;1901;1902;1
926;273;1905;1
927;647;1909;1
928;54;1911;1
929;1887;122;1
930;135;135;1
931;1915;11;1
932;11;1916;1
933;1919;1920;1
934;43;1921;1
935;41;1923;1
936;1926;103;1
937;1927;1928;1
938;280;461;1
939;698;1929;1
940;1930;1105;1
941;776;1931;1
942;1935;80;1
943;1938;53;1
944;1940;1941;1
945;1946;1947;1
946;1951;1952;1
947;1953;1954;1
948;1957;1958;1
949;429;1959;1
950;513;1962;1
951;1499;13;1
952;1966;1967;1
953;1969;1374;1
954;771;1970;1
955;1971;1972;1
956;1978;302;1
957;1980;1981;1
958;108;53;1
959;83;42;1
960;1983;1984;1
961;22;206;1
962;1988;52;1
963;1989;1990;1
964;1991;174;1
965;1993;1994;1
966;1995;42;1
967;813;132;1
968;38;1711;1
969;1997;295;1
970;2000;635;1
971;295;1499;1
972;53;53;1
973;2005;2005;1
974;2006;63;1
975;49;49;1
976;2008;2009;1
977;2010;2011;1
978;13;355;1
979;2015;13;1
980;2017;2018;1
981;103;803;1
982;2021;2022;1
983;2024;42;1
984;2026;2027;1
985;2029;178;1
986;2032;34;1
987;1494;11;1
988;2033;2034;1
989;41;2037;1
990;1176;2039;1
991;2042;2043;1
992;52;2044;1
993;555;2046;1
994;42;1954;1
995;549;100;1
996;212;212;1
997;2048;2049;1
998;219;2050;1
999;2057;2058;1
1000;230;302;1
1001;2059;988;1
1002;2060;1378;1
1003;340;52;1
1004;270;270;1
1005;429;2061;1
1006;306;2063;1
1007;2064;11;1
1008;1038;2066;1
1009;42;2067;1
1010;355;2070;1
1011;401;310;1
1012;2072;2073;1
1013;2075;2076;1
1014;2077;2078;1
1015;2079;2080;1
1016;2081;2082;1
1017;2083;2084;1
1018;1711;771;1
1019;302;2086;1
1020;41;41;1
1021;2087;2088;1
1022;699;413;1
1023;877;2090;1
1024;2091;2092;1
1025;2093;295;1
1026;2096;2096;1
1027;2097;2098;1
1028;2101;54;1
1029;2102;2;1
1030;2103;2104;1
1031;2105;2106;1
1032;2108;429;1
1033;387;2109;1
1034;2110;1699;1
1035;2111;2112;1
1036;2113;2114;1
1037;2115;53;1
1038;1008;2117;1
1039;174;2118;1
1040;2120;2121;1
1041;82;82;1
1042;2123;877;1
1043;771;543;1
1044;2125;2126;1
1045;1021;2129;1
1046;519;11;1
1047;2131;220;1
1048;910;910;1
1049;2134;2134;1
1050;1989;2135;1
1051;2136;42;1
1052;2139;2140;1
1053;380;355;1
1054;2004;42;1
1055;2143;42;1
1056;82;2145;1
1057;2147;11;1
1058;913;2148;1
1059;512;2150;1
1060;2153;2154;1
1061;2155;2156;1
1062;2162;2163;1
1063;273;2165;1
1064;2166;2167;1
1065;2169;514;1
1066;883;2171;1
1067;1418;2107;1
1068;2174;2175;1
1069;435;435;1
1070;803;2185;1
1071;2186;2187;1
1072;100;2188;1
1073;2189;2190;1
1074;2191;2192;1
1075;2194;2195;1
1076;1516;2196;1
1077;2197;2198;1
1078;2200;88;1
1079;2201;2202;1
1080;2206;2206;1
1081;2207;2208;1
1082;63;2209;1
1083;108;219;1
1084;2210;2211;1
1085;22;2212;1
1086;2214;32;1
1087;2215;2216;1
1088;555;647;1
1089;2217;132;1
1090;2219;2220;1
1091;2222;2222;1
1092;2224;2225;1
1093;270;302;1
1094;2227;2228;1
1095;1418;1418;1
1096;2229;121;1
1097;2230;2231;1
1098;392;42;1
1099;2234;2235;1
1100;249;249;1
1101;2239;735;1
1102;2242;122;1
1103;470;2244;1
1104;2246;2247;1
1105;2248;273;1
1106;2249;2250;1
1107;2251;302;1
1108;1951;1297;1
1109;2253;2254;1
1110;2256;5;1
1111;2258;2259;1
1112;34;13;1
1113;272;272;1
1114;2265;2266;1
1115;309;430;1
1116;430;430;1
1117;2267;2268;1
1118;49;11;1
1119;2270;2271;1
1120;2274;2274;1
1121;2276;2277;1
1122;454;519;1
1123;52;52;1
1124;273;464;1
1125;2280;2281;1
1126;42;53;1
1127;52;2285;1
1128;2288;2289;1
1129;136;83;1
1130;2290;2291;1
1131;680;2292;1
1132;2293;6;1
1133;2296;2297;1
1134;2298;1797;1
1135;132;1553;1
1136;219;796;1
1137;42;42;1
1138;2303;2304;1
1139;2306;2307;1
1140;2308;2309;1
1141;2311;798;1
1142;2314;2315;1
1143;2316;2317;1
1144;2318;13;1
1145;2319;2320;1
1146;2080;82;1
1147;1132;2323;1
1148;295;295;1
1149;2325;49;1
1150;2326;80;1
1151;53;49;1
1152;2327;122;1
1153;699;699;1
1154;2330;2331;1
1155;1499;14;1
1156;2333;2334;1
1157;2335;78;1
1158;1025;118;1
1159;2337;2338;1
1160;2339;1243;1
1161;2341;2342;1
1162;1418;2345;1
1163;2347;218;1
1164;2348;2349;1
1165;2350;2351;1
1166;2353;385;1
1167;2354;2355;1
1168;147;2358;1
1169;2360;42;1
1170;2362;52;1
1171;2363;42;1
1172;2364;2365;1
1173;2366;2367;1
1174;121;2373;1
1175;2374;355;1
1176;2375;2376;1
1177;2377;2378;1
1178;2380;2381;1
1179;2383;2384;1
1180;2385;53;1
1181;1652;2387;1
1182;2388;2389;1
1183;2390;2391;1
1184;309;2394;1
1185;1385;2395;1
1186;2396;2397;1
1187;2399;121;1
1188;2400;2401;1
1189;52;2402;1
1190;2403;2404;1
1191;34;34;1
1192;2405;2406;1
1193;2407;2408;1
1194;2409;2410;1
1195;2411;625;1
1196;2413;108;1
1197;49;881;1
1198;2416;2417;1
1199;2419;392;1
1200;420;270;1
1201;2420;2421;1
1202;11;49;1
1203;2422;537;1
1204;310;921;1
1205;13;13;1
1206;54;2425;1
1207;2426;2427;1
1208;2430;2431;1
1209;2432;2433;1
1210;41;174;1
1211;2436;2437;1
1212;50;429;1
1213;2441;2442;1
1214;2446;2447;1
1215;699;1407;1
1216;2449;2450;1
1217;2451;857;1
1218;2452;2453;1
1219;2454;2455;1
1220;249;41;1
1221;2456;2457;1
1222;2460;2461;1
1223;2463;2464;1
1224;700;309;1
1225;2465;42;1
1226;83;28;1
1227;2468;2469;1
1228;681;91;1
1229;2475;2476;1
1230;2477;2478;1
1231;625;625;1
1232;2480;2481;1
1233;2485;340;1
1234;355;34;1
1235;2486;11;1
1236;2487;2488;1
1237;2491;2492;1
1238;2493;2494;1
1239;2495;343;1
1240;2499;2499;1
1241;2500;2501;1
1242;2502;2503;1
1243;2504;2505;1
1244;2508;2509;1
1245;2511;2512;1
1246;2513;614;1
1247;41;322;1
1248;405;1500;1
1249;2517;2518;1
1250;2523;2524;1
1251;2525;2526;1
1252;2527;2528;1
1253;41;1217;1
1254;680;680;1
1255;103;2533;1
1256;2535;513;1
1257;84;2537;1
1258;2538;2539;1
1259;42;2517;1
1260;2540;2541;1
1261;2542;966;1
1262;2544;2545;1
1263;1717;2548;1
1264;2551;2552;1
1265;41;2553;1
1266;2556;2557;1
1267;2558;2559;1
1268;2560;2561;1
1269;2562;2563;1
1270;1547;103;1
1271;136;49;1
1272;2566;2567;1
1273;2570;2571;1
1274;53;2573;1
1275;2378;2378;1
1276;1530;464;1
1277;460;28;1
1278;2574;2575;1
1279;2576;877;1
1280;41;34;1
1281;877;877;1
1282;2578;2578;1
1283;2580;2581;1
1284;2583;2584;1
1285;2586;2587;1
1286;1887;1887;1
1287;2590;2591;1
1288;2592;2593;1
1289;53;2595;1
1290;454;11;1
1291;2597;121;1
1292;625;2599;1
1293;1243;2600;1
1294;2601;2602;1
1295;218;2603;1
1296;123;2604;1
1297;2606;454;1
1298;2608;2609;1
1299;580;431;1
1300;11;11;1
1301;2611;1550;1
1302;2612;2613;1
1303;2616;2617;1
1304;147;302;1
1305;1008;2619;1
1306;381;2620;1
1307;2623;2624;1
1308;2625;2626;1
1309;2628;2629;1
1310;2631;2632;1
1311;11;2634;1
1312;2635;2635;1
1313;2637;121;1
1314;34;2638;1
1315;2639;2640;1
1316;2643;2644;1
1317;2647;2648;1
1318;2654;2655;1
1319;38;38;1
1320;2658;2659;1
1321;2660;2661;1
1322;2662;2662;1
1323;322;2664;1
1324;49;11;1
1325;2665;514;1
1326;2667;293;1
1327;52;2668;1
1328;2669;2670;1
1329;102;2671;1
1330;2499;5;1
1331;2672;2673;1
1332;2674;295;1
1333;1186;41;1
1334;2675;174;1
1335;2677;2678;1
1336;49;2679;1
1337;2680;2680;1
1338;20;2681;1
1339;82;225;1
1340;49;49;1
1341;555;2465;1
1342;1276;2687;1
1343;2688;2689;1
1344;11;2690;1
1345;2691;771;1
1346;2694;80;1
1347;14;378;1
1348;2696;11;1
1349;2697;2697;1
1350;2701;2702;1
1351;2703;11;1
1352;42;2704;1
1353;2706;146;1
1354;2707;41;1
1355;53;921;1
1356;159;159;1
1357;1243;2709;1
1358;137;137;1
1359;102;2712;1
1360;2713;11;1
1361;2714;2715;1
1362;2716;2717;1
1363;699;430;1
1364;2718;82;1
1365;16;355;1
1366;895;2720;1
1367;2722;2723;1
1368;2726;192;1
1369;11;514;1
1370;42;52;1
1371;405;2729;1
1372;81;81;1
1373;82;2731;1
1374;220;2732;1
1375;2733;2734;1
1376;2736;2737;1
1377;103;11;1
1378;2739;2740;1
1379;2746;2747;1
1380;776;261;1
1381;1060;771;1
1382;102;355;1
1383;2748;417;1
1384;2750;2750;1
1385;132;132;1
1386;34;2751;1
1387;2753;63;1
1388;2754;2755;1
1389;1218;2760;1
1390;2763;1711;1
1391;2765;1546;1
1392;2766;52;1
1393;2767;1834;1
1394;2769;2325;1
1395;24;2770;1
1396;136;11;1
1397;2776;340;1
1398;2462;2778;1
1399;2779;2780;1
1400;2782;270;1
1401;932;2784;1
1402;41;2787;1
1403;2788;2789;1
1404;2792;2793;1
1405;1251;1251;1
1406;2794;53;1
1407;2799;132;1
1408;22;2801;1
1409;2802;2803;1
1410;552;1294;1
1411;2808;2809;1
1412;2628;520;1
1413;1438;1439;1
1414;2811;121;1
1415;2813;2814;1
1416;2815;532;1
1417;13;2822;1
1418;2823;2824;1
1419;2825;2826;1
1420;2827;2828;1
1421;2829;310;1
1422;2830;42;1
1423;2369;11;1
1424;2833;2834;1
1425;2836;1175;1
1426;2840;103;1
1427;2841;2842;1
1428;82;82;1
1429;1494;1494;1
1430;309;2844;1
1431;2846;2116;1
1432;42;1114;1
1433;2848;2848;1
1434;2850;2851;1
1435;2854;2855;1
1436;2856;41;1
1437;2858;2859;1
1438;157;2861;1
1439;2862;2863;1
1440;2864;2865;1
1441;2868;212;1
1442;2869;2870;1
1443;2873;90;1
1444;11;84;1
1445;2874;2875;1
1446;302;261;1
1447;2876;42;1
1448;2877;273;1
1449;2878;2879;1
1450;2880;249;1
1451;2881;122;1
1452;2882;302;1
1453;355;2884;1
1454;2886;2887;1
1455;429;42;1
1456;2892;2893;1
1457;2894;2895;1
1458;2896;2897;1
1459;2898;49;1
1460;788;261;1
1461;2903;2904;1
1462;2905;2906;1
1463;1498;2907;1
1464;2908;53;1
1465;1072;1072;1
1466;2664;2910;1
1467;2911;42;1
1468;2915;2915;1
1469;2916;103;1
1470;2918;2919;1
1471;5;63;1
1472;2923;2924;1
1473;2927;22;1
1474;2928;11;1
1475;42;2929;1
1476;683;1175;1
1477;2932;2535;1
1478;513;2422;1
1479;2934;2935;1
1480;103;103;1
1481;102;24;1
1482;132;2937;1
1483;2938;2939;1
1484;2941;430;1
1485;476;102;1
1486;102;2338;1
1487;2944;2945;1
1488;2947;736;1
1489;2948;82;1
1490;2949;42;1
1491;2953;2954;1
1492;2955;13;1
1493;2956;2957;1
1494;430;2958;1
1495;49;49;1
1496;121;2959;1
1497;2960;88;1
1498;464;2963;1
1499;2964;2965;1
1500;2966;2967;1
1501;2968;2969;1
1502;395;2970;1
1503;219;2971;1
1504;2972;84;1
1505;1549;2973;1
1506;1707;2974;1
1507;11;11;1
1508;13;13;1
1509;2975;2976;1
1510;498;2977;1
1511;2978;2979;1
1512;355;49;1
