UserID;WindowID;Split;Sequence;JobTitle;JobTitle_token;Code;Code_lb;Score;JobTitle_token_new;Score_new;MajorGroup;MinorGroup;DetailedOccupation
415;1;Train;4;Front Desk Clerk;desk clerk;43-4081;Hotel, Motel, and Resort Desk Clerks;76.0;desk clerk;76.0;43;43-40;43-4081
415;1;Train;5;Teacher Assistant;teacher assistant;25-9042;Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education;86.0;teacher assistant;86.0;25;25-90;25-9042
437;1;Train;1;RN Floor Nurse Medical Oncology;rn floor nurse medical oncology;29-1141;Registered Nurses;99.0;rn floor nurse medical oncology;99.0;29;29-10;29-1141
437;1;Train;2;Registered Nurse;registered nurse;29-1141;Registered Nurses;99.0;registered nurse;99.0;29;29-10;29-1141
437;1;Train;3;Assistant Nursing Supervisor;assistant nursing supervisor;31-9092;Medical Assistants;66.0;assistant nursing supervisor;66.0;31;31-90;31-9092
437;1;Train;4;Customer Service Agent;customer service agent;43-4051;Customer Service Representatives;96.0;customer service agent;96.0;43;43-40;43-4051
483;1;Train;1;Substitute Teacher;substitute teacher;25-3099;Teachers and Instructors, All Other;80.0;substitute teacher;80.0;25;25-30;25-3099
483;1;Train;2;Accountant;accountant;13-2011;Accountants and Auditors;99.0;accountant;99.0;13;13-20;13-2011
483;1;Train;3;Staff Account and Purchasing Manager;staff account purchasing manager;11-3061;Purchasing Managers;80.0;staff account purchasing manager;80.0;11;11-30;11-3061
483;1;Train;4;Staff Accountant;staff accountant;13-2011;Accountants and Auditors;99.0;staff accountant;99.0;13;13-20;13-2011
483;1;Train;5;Internal Auditor and Credit Corporation Director;internal auditor credit corporation director;11-3031;Financial Managers;81.0;internal auditor credit corporation director;81.0;11;11-30;11-3031
483;1;Train;6;Assistant Director of Circulation and Marketing;assistant director circulation marketing;25-4022;Librarians and Media Collections Specialists;77.0;assistant director circulation marketing;77.0;25;25-40;25-4022
496;1;Train;1;Quality Control Inspector;quality control inspector;51-9061;Inspectors, Testers, Sorters, Samplers, and Weighers;88.0;quality control inspector;88.0;51;51-90;51-9061
496;1;Train;2;Automotive Shop Manager;automotive shop manager;49-1011;First-Line Supervisors of Mechanics, Installers, and Repairers;76.0;automotive shop manager;76.0;49;49-10;49-1011
496;1;Train;3;Automotive Service Technician;automotive service technician;49-3023;Automotive Service Technicians and Mechanics;89.0;automotive service technician;89.0;49;49-30;49-3023
496;1;Train;4;CNA / Assistant Activities Director;cna assistant activities director;31-1131;Nursing Assistants;67.0;cna assistant activities director;67.0;31;31-10;31-1131
496;1;Train;5;Sales, Delivery and Warehouse Management;sales delivery warehouse management;53-1043;First-Line Supervisors of Material-Moving Machine and Vehicle Operators;74.0;sales delivery warehouse management;74.0;53;53-10;53-1043
496;1;Train;6;Rotomolder and Dagger Oven Supervisor;rotomolder dagger oven supervisor;51-1011;First-Line Supervisors of Production and Operating Workers;88.0;rotomolder dagger oven supervisor;88.0;51;51-10;51-1011
496;1;Train;7;Certified Heavy Equipment Operator;certified heavy equipment operator;47-2073;Operating Engineers and Other Construction Equipment Operators;78.0;certified heavy equipment operator;78.0;47;47-20;47-2073
496;1;Train;8;Equipment Operator and Truck Driver;equipment operator truck driver;53-3032;Heavy and Tractor-Trailer Truck Drivers;86.0;equipment operator truck driver;86.0;53;53-30;53-3032
496;1;Train;9;Towing and Recovery Operator;towing recovery operator;53-3032;Heavy and Tractor-Trailer Truck Drivers;59.0;towing recovery operator;59.0;53;53-30;53-3032
496;1;Train;10;Material Stores Manager / Kit Supervisor;material stores manager kit supervisor;53-1042;First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand;72.0;material stores manager kit supervisor;72.0;53;53-10;53-1042
501;1;Train;1;Account Manager;account manager;11-2011;Advertising and Promotions Managers;66.0;account manager;66.0;11;11-20;11-2011
501;1;Train;3;Sales Engineer;sales engineer;41-9031;Sales Engineers;98.0;sales engineer;98.0;41;41-90;41-9031
501;1;Train;4;Sales Engineer;sales engineer;41-9031;Sales Engineers;98.0;sales engineer;98.0;41;41-90;41-9031
524;1;Train;1;District Manager;district manager;11-1021;General and Operations Managers;92.0;district manager;92.0;11;11-10;11-1021
524;1;Train;2;General Manager;general manager;11-1021;General and Operations Managers;99.0;general manager;99.0;11;11-10;11-1021
524;1;Train;3;Area General Manager;area general manager;11-1021;General and Operations Managers;99.0;area general manager;99.0;11;11-10;11-1021
524;1;Train;4;Operations Manager;operations manager;11-1021;General and Operations Managers;99.0;operations manager;99.0;11;11-10;11-1021
534;1;Train;1;Sr. IT Helpdesk Representative;sr helpdesk representative;15-1232;Computer User Support Specialists;98.0;sr helpdesk representative;98.0;15;15-12;15-1232
534;1;Train;2;Sr. Customer Service Representative;sr customer service representative;43-4051;Customer Service Representatives;76.0;sr customer service representative;76.0;43;43-40;43-4051
534;1;Train;3;Team Network Engineer;team network engineer;15-1244;Network and Computer Systems Administrators;72.0;team network engineer;72.0;15;15-12;15-1244
547;1;Train;1;Maintenance Mechanic;maintenance mechanic;49-9071;Maintenance and Repair Workers, General;85.0;maintenance mechanic;85.0;49;49-90;49-9071
547;1;Train;2;CDL-A Instructor;cdl instructor;25-1194;Career/Technical Education Teachers, Postsecondary;86.0;cdl instructor;86.0;25;25-10;25-1194
547;1;Train;3;Owner/CDL-A Driver;owner cdl driver;53-3032;Heavy and Tractor-Trailer Truck Drivers;68.0;owner cdl driver;68.0;53;53-30;53-3032
547;1;Train;4;Co-owner;co owner;99-9999;Not Classified;83.0;co owner;83.0;99;99-90;99-9999
547;1;Train;5;Owner;owner;99-9999;Not Classified;91.0;owner;91.0;99;99-90;99-9999
547;1;Train;6;Maintenance Mechanic;maintenance mechanic;49-9071;Maintenance and Repair Workers, General;85.0;maintenance mechanic;85.0;49;49-90;49-9071
547;1;Train;7;Owner;owner;99-9999;Not Classified;91.0;owner;91.0;99;99-90;99-9999
553;1;Train;1;Business Specialist;business specialist;13-1199;Business Operations Specialists, All Other;87.0;business specialist;87.0;13;13-10;13-1199
553;1;Train;2;Administration Assistant;administration assistant;43-6014;Secretaries and Administrative Assistants, Except Legal, Medical, and Executive;95.0;administration assistant;95.0;43;43-60;43-6014
553;1;Train;3;Office Manager;office manager;43-1011;First-Line Supervisors of Office and Administrative Support Workers;81.0;office manager;81.0;43;43-10;43-1011
554;1;Train;2;Auditor;auditor;13-2011;Accountants and Auditors;84.0;auditor;84.0;13;13-20;13-2011
589;1;Train;1;Administrative Assistant;administrative assistant;43-6014;Secretaries and Administrative Assistants, Except Legal, Medical, and Executive;96.0;administrative assistant;96.0;43;43-60;43-6014
589;1;Train;2;Director;director;11-1011;Chief Executives;70.0;director;70.0;11;11-10;11-1011
589;1;Train;3;Lead Cashier / Credit Analyst;lead cashier credit analyst;13-2041;Credit Analysts;85.0;lead cashier credit analyst;85.0;13;13-20;13-2041
589;1;Train;4;Assistant Manager;assistant manager;41-1011;First-Line Supervisors of Retail Sales Workers;67.0;assistant manager;67.0;41;41-10;41-1011
589;1;Train;5;Shift Manager;shift manager;11-9051;Food Service Managers;65.0;shift manager;65.0;11;11-90;11-9051
640;1;Train;1;Manager, Managed Care Contracting Sheridan Healthcare;manager managed care contracting sheridan healthcare;11-9111;Medical and Health Services Managers;94.0;manager managed care contracting sheridan healthcare;94.0;11;11-90;11-9111
640;1;Train;2;Contract Negotiator;contract negotiator;13-1199;Business Operations Specialists, All Other;86.0;contract negotiator;86.0;13;13-10;13-1199
640;1;Train;3;Network Manager;network manager;11-3021;Computer and Information Systems Managers;64.0;network manager;64.0;11;11-30;11-3021
640;1;Train;4;Office Administrator;office administrator;43-1011;First-Line Supervisors of Office and Administrative Support Workers;93.0;office administrator;93.0;43;43-10;43-1011
644;1;Train;1;Inventory Specialist;inventory specialist;53-7065;Stockers and Order Fillers;80.0;inventory specialist;80.0;53;53-70;53-7065
644;1;Train;2;Sales Associate;sales associate;41-2031;Retail Salespersons;99.0;sales associate;99.0;41;41-20;41-2031
644;1;Train;3;Ride Operator;ride operator;39-3091;Amusement and Recreation Attendants;74.0;ride operator;74.0;39;39-30;39-3091
644;1;Train;4;Cook;cook;35-2014;Cooks, Restaurant;81.0;cook;81.0;35;35-20;35-2014
645;1;Train;1;Forklift Driver;forklift driver;53-7051;Industrial Truck and Tractor Operators;98.0;forklift driver;98.0;53;53-70;53-7051
645;1;Train;2;Lead Coordinator;lead coordinator;43-1011;First-Line Supervisors of Office and Administrative Support Workers;74.0;lead coordinator;74.0;43;43-10;43-1011
655;1;Train;1;Intern Court Administration;intern court administration;43-4031;Court, Municipal, and License Clerks;58.0;intern court administration;58.0;43;43-40;43-4031
655;1;Train;2;Administrative Assistant;administrative assistant;43-6014;Secretaries and Administrative Assistants, Except Legal, Medical, and Executive;96.0;administrative assistant;96.0;43;43-60;43-6014
655;1;Train;3;Receptionist;receptionist;43-4171;Receptionists and Information Clerks;95.0;receptionist;95.0;43;43-40;43-4171
682;1;Train;1;Customer Service Representative;customer service representative;43-4051;Customer Service Representatives;99.0;customer service representative;99.0;43;43-40;43-4051
682;1;Train;2;Device Specialist;device specialist;17-2072;Electronics Engineers, Except Computer;61.0;device specialist;61.0;17;17-20;17-2072
682;1;Train;3;Sales Associate;sales associate;41-2031;Retail Salespersons;99.0;sales associate;99.0;41;41-20;41-2031
682;1;Train;4;Supervisor;supervisor;51-1011;First-Line Supervisors of Production and Operating Workers;78.0;supervisor;78.0;51;51-10;51-1011
744;1;Train;1;Shipping Clerk;shipping clerk;43-5071;Shipping, Receiving, and Inventory Clerks;92.0;shipping clerk;92.0;43;43-50;43-5071
744;1;Train;2;Bartender/Server;bartender server;35-3011;Bartenders;93.0;bartender server;93.0;35;35-30;35-3011
744;1;Train;3;Asst Trainer/Groom/Farm Manager;asst trainer groom farm manager;11-9013;Farmers, Ranchers, and Other Agricultural Managers;72.0;asst trainer groom farm manager;72.0;11;11-90;11-9013
744;1;Train;4;Inventory Specialist;inventory specialist;53-7065;Stockers and Order Fillers;80.0;inventory specialist;80.0;53;53-70;53-7065
744;1;Train;5;Shift Leader, Asst Manager certified;shift leader asst manager certified;41-1011;First-Line Supervisors of Retail Sales Workers;66.0;shift leader asst manager certified;66.0;41;41-10;41-1011
755;1;Train;1;Senior Software Engineer/Project Leader;senior software engineer project leader;15-1252;Software Developers;90.0;senior software engineer project leader;90.0;15;15-12;15-1252
755;1;Train;2;Software Engineer;software engineer;15-1252;Software Developers;95.0;software engineer;95.0;15;15-12;15-1252
755;1;Train;3;Chair of Cinnaminson Twp. Parks and Rec;chair cinnaminson twp parks rec;39-9032;Recreation Workers;64.0;chair cinnaminson twp parks rec;64.0;39;39-90;39-9032
755;1;Train;4;Member of the Technical Staff B Programmer/Analyst;member technical staff b programmer analyst;15-1211;Computer Systems Analysts;62.0;member technical staff b programmer analyst;62.0;15;15-12;15-1211
755;1;Train;5;Software Consultant;software consultant;15-1211;Computer Systems Analysts;76.0;software consultant;76.0;15;15-12;15-1211
755;1;Train;6;Member of the Technical Staff B Programmer/Analyst;member technical staff b programmer analyst;15-1211;Computer Systems Analysts;62.0;member technical staff b programmer analyst;62.0;15;15-12;15-1211
755;1;Train;7;Program Control Specialist;program control specialist;13-1199;Business Operations Specialists, All Other;64.0;program control specialist;64.0;13;13-10;13-1199
767;1;Test;1;Claims Adjuster;claims adjuster;13-1031;Claims Adjusters, Examiners, and Investigators;74.0;claims adjuster;74.0;13;13-10;13-1031
767;1;Test;2;Professional Baseball Player;professional baseball player;27-2021;Athletes and Sports Competitors;75.0;professional baseball player;75.0;27;27-20;27-2021
767;1;Test;3;Professional Baseball Player;professional baseball player;27-2021;Athletes and Sports Competitors;75.0;professional baseball player;75.0;27;27-20;27-2021
767;1;Test;4;Professional Baseball Player;professional baseball player;27-2021;Athletes and Sports Competitors;75.0;professional baseball player;75.0;27;27-20;27-2021
767;1;Test;5;Professional Baseball Player;professional baseball player;27-2021;Athletes and Sports Competitors;75.0;professional baseball player;75.0;27;27-20;27-2021
769;1;Test;1;Shoe Fit Specialist;shoe fit specialist;41-2031;Retail Salespersons;99.0;shoe fit specialist;99.0;41;41-20;41-2031
769;1;Test;2;WGCI, Programming Intern;wgci programming intern;15-1251;Computer Programmers;76.0;wgci programming intern;76.0;15;15-12;15-1251
769;1;Test;3;Hip Hop Director/DJ;hip hop director dj;27-2041;Music Directors and Composers;61.0;hip hop director dj;61.0;27;27-20;27-2041
769;1;Test;4;Teller;teller;43-3071;Tellers;95.0;teller;95.0;43;43-30;43-3071
769;1;Test;5;Head Cashier;head cashier;41-2011;Cashiers;99.0;head cashier;99.0;41;41-20;41-2011
861;1;Test;1;Building Manager;building manager;11-9141;Property, Real Estate, and Community Association Managers;70.0;building manager;70.0;11;11-90;11-9141
861;1;Test;2;Independent Avon Rep;independent avon rep;99-9999;Not Classified;99.0;independent avon rep;99.0;99;99-90;99-9999
861;1;Test;4;Assistant Manager;assistant manager;41-1011;First-Line Supervisors of Retail Sales Workers;67.0;assistant manager;67.0;41;41-10;41-1011
861;1;Test;5;Crew Manage;crew manage;47-1011;First-Line Supervisors of Construction Trades and Extraction Workers;71.0;crew manage;71.0;47;47-10;47-1011
861;1;Test;6;Office Manager;office manager;43-1011;First-Line Supervisors of Office and Administrative Support Workers;81.0;office manager;81.0;43;43-10;43-1011
861;1;Test;7;Bartender;bartender;35-3011;Bartenders;99.0;bartender;99.0;35;35-30;35-3011
886;1;Train;1;Administrative Assistant to Children,  Recreation Ministries;administrative assistant children recreation ministries;39-9032;Recreation Workers;84.0;administrative assistant children recreation ministries;84.0;39;39-90;39-9032
886;1;Train;2;Delivery Driver;delivery driver;53-3033;Light Truck Drivers;90.0;delivery driver;90.0;53;53-30;53-3033
886;1;Train;3;Election and Voter Registration Technician;election voter registration technician;25-4031;Library Technicians;69.0;election voter registration technician;69.0;25;25-40;25-4031
886;1;Train;4;Office Manager/Chief Financial Officer;office manager chief financial officer;11-3031;Financial Managers;91.0;office manager chief financial officer;91.0;11;11-30;11-3031
886;1;Train;5;Victim Witness Assistance Program;victim witness assistance program;21-1093;Social and Human Service Assistants;77.0;victim witness assistance program;77.0;21;21-10;21-1093
908;1;Train;1;Intern;intern;99-9999;Not Classified;56.0;intern;56.0;99;99-90;99-9999
908;1;Train;2;Intern;intern;99-9999;Not Classified;56.0;intern;56.0;99;99-90;99-9999
908;1;Train;3;Customer Experience Associate;customer experience associate;43-4051;Customer Service Representatives;75.0;customer experience associate;75.0;43;43-40;43-4051
908;1;Train;4;Customer Experience Associate;customer experience associate;43-4051;Customer Service Representatives;75.0;customer experience associate;75.0;43;43-40;43-4051
908;1;Train;5;Professorial Assistant;professorial assistant;43-6014;Secretaries and Administrative Assistants, Except Legal, Medical, and Executive;74.0;professorial assistant;74.0;43;43-60;43-6014
908;1;Train;6;Professorial Assistant;professorial assistant;43-6014;Secretaries and Administrative Assistants, Except Legal, Medical, and Executive;74.0;professorial assistant;74.0;43;43-60;43-6014
951;1;Train;1;Senior Receptionist;senior receptionist;43-4171;Receptionists and Information Clerks;98.0;senior receptionist;98.0;43;43-40;43-4171
951;1;Train;2;Division Administrator;division administrator;11-3012;Administrative Services Managers;63.0;division administrator;63.0;11;11-30;11-3012
966;1;Train;1;Patient Care Coordinator/RN Case Manager;patient care coordinator rn case manager;29-1141;Registered Nurses;99.0;patient care coordinator rn case manager;99.0;29;29-10;29-1141
966;1;Train;2;RN Med/Tele/PCU;rn med tele pcu;29-1141;Registered Nurses;97.0;rn med tele pcu;97.0;29;29-10;29-1141
966;1;Train;3;Private duty LPN/RN;private duty lpn rn;29-2061;Licensed Practical and Licensed Vocational Nurses;99.0;private duty lpn rn;99.0;29;29-20;29-2061
966;1;Train;4;Private duty LPN;private duty lpn;29-2061;Licensed Practical and Licensed Vocational Nurses;99.0;private duty lpn;99.0;29;29-20;29-2061
966;1;Train;5;Home Health Nurse (LPN);home health nurse lpn;29-2061;Licensed Practical and Licensed Vocational Nurses;99.0;home health nurse lpn;99.0;29;29-20;29-2061
966;1;Train;6;Staff LPN;staff lpn;29-2061;Licensed Practical and Licensed Vocational Nurses;99.0;staff lpn;99.0;29;29-20;29-2061
1006;1;Test;1;Photo Supervisor;photo supervisor;41-1011;First-Line Supervisors of Retail Sales Workers;66.0;photo supervisor;66.0;41;41-10;41-1011
1006;1;Test;2;Custodian;custodian;37-2011;Janitors and Cleaners, Except Maids and Housekeeping Cleaners;99.0;custodian;99.0;37;37-20;37-2011
1006;1;Test;3;Mailroom Clerk;mailroom clerk;43-9051;Mail Clerks and Mail Machine Operators, Except Postal Service;82.0;mailroom clerk;82.0;43;43-90;43-9051
1031;1;Train;1;Assistant General Manager;assistant general manager;11-1021;General and Operations Managers;64.0;assistant general manager;64.0;11;11-10;11-1021
1031;1;Train;2;Senior Loan Officer;senior loan officer;13-2072;Loan Officers;92.0;senior loan officer;92.0;13;13-20;13-2072
1031;1;Train;3;Personal Trainer/Sales Consultant;personal trainer sales consultant;13-1151;Training and Development Specialists;82.0;personal trainer sales consultant;82.0;13;13-10;13-1151
1045;1;Train;1;SECURITY GUARD;security guard;33-9032;Security Guards;95.0;security guard;95.0;33;33-90;33-9032
1045;1;Train;2;TRANSPORTATION WORKER EQUIPMENT OPERATOR TWO;transportation worker equipment operator;47-4051;Highway Maintenance Workers;69.0;transportation worker equipment operator;69.0;47;47-40;47-4051
1045;1;Train;3;TRUCK DRIVER;truck driver;53-3032;Heavy and Tractor-Trailer Truck Drivers;89.0;truck driver;89.0;53;53-30;53-3032
1045;1;Train;4;TRUCK DRIVER;truck driver;53-3032;Heavy and Tractor-Trailer Truck Drivers;89.0;truck driver;89.0;53;53-30;53-3032
1045;1;Train;5;DRIVER;driver;53-3032;Heavy and Tractor-Trailer Truck Drivers;76.0;driver;76.0;53;53-30;53-3032
1113;1;Train;1;Assistant;assistant;43-6014;Secretaries and Administrative Assistants, Except Legal, Medical, and Executive;80.0;assistant;80.0;43;43-60;43-6014
1113;1;Train;2;Waitress;waitress;35-3031;Waiters and Waitresses;99.0;waitress;99.0;35;35-30;35-3031
1123;1;Train;1;Waiter / Chef;waiter chef;35-1012;First-Line Supervisors of Food Preparation and Serving Workers;93.0;waiter chef;93.0;35;35-10;35-1012
1123;1;Train;2;Culinary Assistant;culinary assistant;35-2021;Food Preparation Workers;99.0;culinary assistant;99.0;35;35-20;35-2021
1123;1;Train;3;Line Cook;line cook;35-2014;Cooks, Restaurant;99.0;line cook;99.0;35;35-20;35-2014
1138;1;Train;1;Pharmacy Sales Associate;pharmacy sales associate;41-2031;Retail Salespersons;98.0;pharmacy sales associate;98.0;41;41-20;41-2031
1138;1;Train;2;Electronic Netsource Error Admin;electronic netsource error admin;17-3012;Electrical and Electronics Drafters;62.0;electronic netsource error admin;62.0;17;17-30;17-3012
1138;1;Train;3;Order Management/Customer Service;order management customer service;43-1011;First-Line Supervisors of Office and Administrative Support Workers;79.0;order management customer service;79.0;43;43-10;43-1011
1138;1;Train;4;Pickle Line Assistant/Manual Laborer;pickle line assistant manual laborer;51-9198;Helpers--Production Workers;79.0;pickle line assistant manual laborer;79.0;51;51-90;51-9198
1192;1;Test;1;Marketing Intern;marketing intern;13-1161;Market Research Analysts and Marketing Specialists;99.0;marketing intern;99.0;13;13-10;13-1161
